gp_code,af_prev,ast_prev,can_prev,chd_prev,ckd_prev,copd_prev,dem_prev,dep_prev,dm_prev,ep_prev,hf_prev,hyp_prev,ld_prev,mh_prev,ndh_prev,ob_prev,ost_prev,pad_prev,pc_prev,ra_prev,stia_prev
C85006,2.68220495745468,6.510721247563353,4.957454679985202,4.014058453570107,6.144631765749778,3.0336662967073624,1.035886052534221,18.16770186335404,7.602979842243646,0.7542147293700089,1.5908250092489826,20.532741398446174,0.684424713281539,0.7584165741768406,5.7897071872227155,17.10292812777285,0.6525285481239804,1.1283758786533482,0.3329633740288568,0.8221549112938122,2.1642619311875695
C85007,3.0759100743109773,8.131933438985737,4.157652149374471,4.910168375505597,5.3386911595866815,4.552723168093312,0.7901420374376822,16.40642939150402,9.185756407348606,1.1595866819747418,2.0788260746872353,20.44022199228671,0.7525162261311259,0.9688646411438246,10.022962112514351,15.74052812858783,0.7703830515728655,1.5990969805286426,0.5643871695983445,0.6829377519032691,2.6149938858056627
C85008,2.9917842195008526,7.438351719662557,4.828708727329096,4.766702836769493,4.769535300216797,3.2243063090993647,1.1006045574329562,22.631727778301443,10.66456283645814,0.9425959091337542,1.5191443187102776,21.5780499147419,0.5037978607967757,0.7905751046349403,10.161183900461872,20.246960128193045,0.4838171504838172,1.1083552937529064,0.449542706557123,0.7592389315770216,3.0305379011006046
C85009,1.1875843454790824,5.80942770650137,2.051282051282051,2.9284750337381915,2.1832559738696924,3.0634278002699054,0.8097165991902834,19.305483926422554,7.315424902855212,1.0658414990544955,1.0256410256410255,13.21187584345479,0.6477732793522267,1.6329284750337383,7.64999140450404,16.84717208182912,0.3443187407771766,0.8906882591093117,0.661268556005398,0.6991842850008324,1.417004048582996
C85010,2.950449110701326,7.832502995522482,4.253167568853726,4.7468919160073755,4.827993503617304,3.6940098744869427,1.237285110939266,15.84969732762439,9.50199927299164,1.040897681972538,1.5049669859020878,21.50972577479032,0.5710546665873536,0.7970971387781809,10.792853979034401,20.426694227078105,0.623390703347337,1.487121527571233,0.6364880138004877,0.9394048045894585,3.0753673190173103
C85013,2.5876684215222627,8.555894696680657,3.5513518336753815,3.783349692156688,5.569447601727665,3.8725796377264214,0.7941465155706255,14.730620595589908,9.294763986994058,1.034325983177995,1.7667529222807172,15.740162398500937,0.9369144284821986,0.8119925046845722,9.047510797908616,20.140941122982493,0.8727272727272728,1.4366021236727045,0.6513786026590523,0.6735865724381626,2.7304363344338363
C85014,2.9882712901580826,6.648441771459813,4.36511983681795,5.272819989801122,5.81095041322314,3.7225905150433456,1.0300866904640489,24.22520661157025,9.91725015913431,1.0976239669421488,1.8052014278429371,18.83732789393167,0.7241203467618562,0.7547169811320755,8.25154958677686,19.718491735537192,0.07686395080707148,1.2136664966853645,0.4589495155532891,0.728460185882944,2.784293727689954
C85016,2.842657975737824,8.886774500475738,4.807170016295491,4.698533405757741,5.227579990986931,4.309252217997465,0.8690928843020097,12.53943217665615,9.428318191890096,1.2730959891843172,1.149737461524534,17.490494296577946,0.9053050878145934,0.9867825457179069,12.302839116719243,20.32447048219919,0.18777383684539956,0.9234111895708854,0.4435994930291508,0.9487459105779716,3.4492123845736016
C85017,2.169525731584258,6.9875222816399285,3.279515640766902,3.910191725529768,2.4488530688158714,3.5065590312815336,1.1268079381096534,11.324653854102088,9.185548071034905,1.012605910312048,1.0763538513286244,16.80961991254625,0.6643121426168853,1.1268079381096534,8.834469931804092,20.582765034097957,0.08841732979664013,1.0763538513286244,0.5634039690548267,0.6339941632283386,2.4974772956609486
C85018,2.747551686615887,6.601431283773916,4.094124047878128,4.25734494015234,2.923976608187134,4.352557127312296,0.8977149075081612,19.20964026227184,10.88625261688765,1.3113592060960482,1.278563656147987,19.328073993471165,0.6664853101196953,0.8569096844396082,11.589580010632643,23.693071061492113,0.32751091703056767,0.8025027203482046,0.8161044613710555,0.8765898934341699,2.3939064200217626
C85019,2.72028920018075,6.598155973876296,3.76863985539991,4.048802530501582,4.938950610493896,3.7776773610483505,0.6597379123361952,12.704872951270488,8.766586904502937,0.7919920800791992,1.4279258924536828,20.650700406687754,0.48802530501581565,0.8224130140081337,10.031899681003189,18.435815641843583,0.1266357112705783,1.0031631269769545,0.2078626299141437,0.7723664449688908,2.2322638951649343
C85020,2.897151134717528,5.919769315579679,4.233059713503944,4.233059713503944,4.560892770499757,2.4384355383872522,0.8128118461290843,17.049975739932073,8.339723926380369,0.9315866084425037,1.6900048285852245,17.737003058103976,0.5150490906164494,0.8289071302108483,9.548762736535663,18.9034449296458,0.2328080229226361,0.724287783679382,0.35409624979880894,0.7104290991759022,2.736198293899887
C85022,2.286550157825853,7.716988893459481,4.095773346677959,3.741627530987759,4.3436386400847535,3.010239433366695,0.7775810301023943,26.69748627564288,9.058108621344473,1.069055186362323,1.1625221341134806,19.785972746169836,0.6082069443375163,1.0778350912310417,6.173552923047289,18.530289896946933,0.6092916984006093,1.1086303795519286,0.40803757025175147,0.8631203677643307,2.3558395565478483
C85023,2.473935324262237,7.587181903864279,3.578370736879307,4.541438416681393,2.7786966589480646,4.6032867997879485,1.148612829121753,10.265740434447016,10.440633818102887,1.1688168486051385,1.2369676621311185,18.766566531189255,0.8216999469871002,0.9542321965011487,4.97298489359356,16.782445694122835,0.13117621337997376,1.2634741120339283,0.9719031631030217,0.7693951699081001,2.314896624845379
C85024,2.99578717428616,6.907894736842106,3.37026057107193,5.1490092058043375,2.9106029106029108,1.9971914495241068,1.2794507723513808,7.56000756000756,9.053651266766021,1.134001134001134,1.5134966453424872,15.30660009361835,0.6397253861756904,0.7801529099703542,5.3865053865053865,16.008316008316008,0.06809669731018045,0.7177406771727258,0.4056795131845842,0.9546539379474941,2.5745046029021688
C85028,2.282525995434948,4.69208211143695,3.6266801927466394,5.376616789246767,2.810018326206475,3.8549327922901346,0.6086735987826528,5.8338423946243125,9.239130434782608,0.794135613927917,0.8369261983261477,12.173471975653056,0.4565051990869896,1.4455997971088004,6.475259621258401,12.003665241295051,0.11689070718877849,1.2934313974131373,0.050722799898554397,0.7469375560203168,2.5107785949784427
C85030,2.494085173501577,8.248397604287065,3.9333596214511037,4.209384858044165,4.225525119764157,3.8150630914826498,0.8379337539432177,13.04508045694632,9.901710957408081,1.0563812799410393,1.8237381703470033,19.509069400630917,0.5717665615141956,0.8280757097791799,9.986488146419358,24.812676575359294,0.17513134851138354,0.6900630914826498,0.38446372239747634,0.7421594445774479,2.425078864353312
C85033,2.0471894517696043,6.276458678446531,3.547883414295628,3.174878556557946,2.035541195476575,2.1339347675225535,0.9108258154059681,14.044157242864836,6.564690885914596,0.9154550350026925,0.8587786259541985,14.11346287300486,0.7720333102012491,0.806731436502429,4.566505115778137,13.925686591276252,0.18770530267480057,0.42505204718945183,0.38167938931297707,0.5666911533214398,2.012491325468425
C85614,2.2975432211101,8.9111328125,4.526842584167425,3.4576888080072794,2.437641723356009,2.1838034576888083,0.6596906278434941,10.714285714285714,7.774049217002236,0.7653061224489796,1.0009099181073704,17.81164695177434,0.3639672429481347,0.8416742493175614,8.106575963718821,17.205215419501133,0.0,0.6369426751592357,0.20473157415832577,0.6353591160220995,2.2065514103730663
C85619,1.9737592698231603,7.762444553967472,2.7495721620079863,3.616657159155733,3.5169111044597425,3.4911580148317167,0.8784940102681118,20.1736007183478,9.281084266352387,0.9428314875785693,0.901312036508842,15.915573302909298,0.764403879064461,1.0838562464346835,8.186171804848847,21.266087997605506,0.17319016279875304,1.30062749572162,0.65031374786081,0.7101449275362319,1.9623502567027953
C85622,1.908566355969818,6.996268656716417,3.0181979582778515,3.861517976031957,4.649890590809628,3.462050599201065,0.8433200177541057,9.135667396061269,9.134615384615383,1.2582056892778994,1.109631602308034,19.66267199289836,0.5326231691078562,0.7545494895694629,8.698030634573305,11.87089715536105,0.20554984583761562,1.020861074123391,0.35508211273857077,0.580168776371308,2.840656901908566
C85623,2.3656320968962907,6.769477268175446,4.03103709311128,2.7252081756245268,3.2350142721217887,1.6086298258894776,0.39742619227857684,17.95908658420552,5.812324929971989,0.6184586108468125,0.984102952308857,15.423921271763815,0.2081756245268736,0.6056018168054504,5.970504281636536,13.915318744053282,0.13434841021047916,0.5299015897047691,0.45420136260408783,1.011261778901402,1.7978803936411811
