month,gp_code,supplier,oc_total,oc_clinical,oc_admin,oc_rate_1k,list_size,oc_capability,oc_usage
2023-04,A83047,ECONSULT HEALTH LIMITED,115.0,87.0,28.0,7.536535814928895,15259.0,1.0,1.0
2023-04,A83048,ECONSULT HEALTH LIMITED,243.0,210.0,33.0,40.49325112481253,6001.0,1.0,1.0
2023-04,A83049,ECONSULT HEALTH LIMITED,310.0,230.0,80.0,20.28132155708211,15285.0,1.0,1.0
2023-04,A83050,ECONSULT HEALTH LIMITED,259.0,174.0,85.0,20.27873473222675,12772.0,1.0,1.0
2023-04,A83051,ECONSULT HEALTH LIMITED,159.0,116.0,43.0,14.383933417767324,11054.0,1.0,1.0
2023-04,A83052,ECONSULT HEALTH LIMITED,115.0,29.0,86.0,13.20624712907671,8708.0,1.0,1.0
2023-04,A83054,ECONSULT HEALTH LIMITED,170.0,99.0,71.0,10.457033893092207,16257.0,1.0,1.0
2023-04,A83055,ECONSULT HEALTH LIMITED,275.0,222.0,53.0,56.306306306306304,4884.0,1.0,1.0
2023-04,A83057,"ECONSULT HEALTH LIMITED, ACCURX LIMITED",473.0,210.0,263.0,25.98187311178248,18205.0,1.0,1.0
2023-04,A83060,ECONSULT HEALTH LIMITED,34.0,21.0,13.0,11.386470194239784,2986.0,1.0,1.0
2023-04,A83061,ECONSULT HEALTH LIMITED,10.0,9.0,1.0,2.8216704288939054,3544.0,1.0,1.0
2023-04,A83066,ECONSULT HEALTH LIMITED,75.0,52.0,23.0,6.427836818649297,11668.0,1.0,1.0
2023-04,A83070,ECONSULT HEALTH LIMITED,128.0,91.0,37.0,22.272489994779885,5747.0,1.0,1.0
2023-04,A83071,ECONSULT HEALTH LIMITED,59.0,29.0,30.0,12.655512655512656,4662.0,1.0,1.0
2023-04,A83072,ECONSULT HEALTH LIMITED,82.0,68.0,14.0,19.763798505664017,4149.0,1.0,1.0
2023-04,A83073,ECONSULT HEALTH LIMITED,32.0,17.0,15.0,6.2329567588624855,5134.0,1.0,1.0
2023-04,A83074,ECONSULT HEALTH LIMITED,329.0,253.0,76.0,26.916468951975784,12223.0,1.0,1.0
2023-04,A83075,ECONSULT HEALTH LIMITED,210.0,84.0,126.0,25.01488981536629,8395.0,1.0,1.0
2023-04,A83610,ECONSULT HEALTH LIMITED,49.0,16.0,33.0,14.548693586698338,3368.0,1.0,1.0
2023-04,A83616,ECONSULT HEALTH LIMITED,35.0,18.0,17.0,4.383218534752661,7985.0,1.0,1.0
2023-04,A83617,ECONSULT HEALTH LIMITED,16.0,12.0,4.0,6.153846153846154,2600.0,1.0,1.0
2023-04,A83618,ECONSULT HEALTH LIMITED,296.0,232.0,64.0,38.6322109109893,7662.0,1.0,1.0
2023-04,A83619,ECONSULT HEALTH LIMITED,31.0,15.0,16.0,8.78186968838527,3530.0,1.0,1.0
2023-04,A83622,ECONSULT HEALTH LIMITED,14.0,9.0,5.0,8.201523140011716,1707.0,1.0,1.0
2023-04,A83626,ECONSULT HEALTH LIMITED,4.0,1.0,3.0,1.8674136321195145,2142.0,1.0,1.0
2023-04,A83627,ECONSULT HEALTH LIMITED,89.0,68.0,21.0,13.98052152057807,6366.0,1.0,1.0
2023-04,A83634,ECONSULT HEALTH LIMITED,54.0,34.0,20.0,19.43844492440605,2778.0,1.0,1.0
2023-04,A83635,ECONSULT HEALTH LIMITED,108.0,57.0,51.0,25.495750708215297,4236.0,1.0,1.0
2023-04,A83636,ECONSULT HEALTH LIMITED,250.0,127.0,123.0,41.19294776734223,6069.0,1.0,1.0
2023-04,A83637,"ECONSULT HEALTH LIMITED, ACCURX LIMITED",104.0,69.0,35.0,24.482109227871938,4248.0,1.0,1.0
2023-04,A83641,ECONSULT HEALTH LIMITED,105.0,48.0,57.0,22.307202039515616,4707.0,1.0,1.0
2023-04,A83644,ECONSULT HEALTH LIMITED,29.0,8.0,21.0,8.224617129892229,3526.0,1.0,1.0
2023-04,A84002,ECONSULT HEALTH LIMITED,58.0,34.0,24.0,9.54261270154656,6078.0,1.0,1.0
2023-04,A84005,ECONSULT HEALTH LIMITED,93.0,62.0,31.0,7.588120104438642,12256.0,1.0,1.0
2023-04,A84006,ECONSULT HEALTH LIMITED,693.0,570.0,123.0,36.77172874880611,18846.0,1.0,1.0
2023-04,A84007,ECONSULT HEALTH LIMITED,383.0,321.0,62.0,35.46624687471062,10799.0,1.0,1.0
2023-04,A84008,ECONSULT HEALTH LIMITED,45.0,42.0,3.0,9.977827050997782,4510.0,1.0,1.0
2023-04,A84009,ECONSULT HEALTH LIMITED,306.0,210.0,96.0,11.40684410646388,26826.0,1.0,1.0
2023-04,A84011,ECONSULT HEALTH LIMITED,59.0,46.0,13.0,7.244597249508841,8144.0,1.0,1.0
2023-04,A84013,ECONSULT HEALTH LIMITED,80.0,51.0,29.0,12.658227848101266,6320.0,1.0,1.0
2023-04,A84014,ECONSULT HEALTH LIMITED,261.0,118.0,143.0,20.08001230958609,12998.0,1.0,1.0
2023-04,A84016,ECONSULT HEALTH LIMITED,114.0,92.0,22.0,16.45971700837424,6926.0,1.0,1.0
2023-04,A84018,ECONSULT HEALTH LIMITED,63.0,45.0,18.0,8.77070861756926,7183.0,1.0,1.0
2023-04,A84020,ECONSULT HEALTH LIMITED,87.0,48.0,39.0,10.921416018076826,7966.0,1.0,1.0
2023-04,A84022,ECONSULT HEALTH LIMITED,241.0,186.0,55.0,20.226605119597146,11915.0,1.0,1.0
2023-04,A84024,None/Unknown,0.0,0.0,0.0,0.0,10233.0,0.0,0.0
2023-04,A84025,ECONSULT HEALTH LIMITED,41.0,33.0,8.0,8.064516129032258,5084.0,1.0,1.0
2023-04,A84026,ECONSULT HEALTH LIMITED,508.0,436.0,72.0,57.22654049791596,8877.0,1.0,1.0
2023-04,A84027,ECONSULT HEALTH LIMITED,97.0,72.0,25.0,28.1404119524224,3447.0,1.0,1.0
2023-04,A84028,KLINIK HEALTHCARE SOLUTIONS UK LIMITED,4087.0,0.0,0.0,214.8790746582545,19020.0,1.0,1.0
2023-04,A84029,ECONSULT HEALTH LIMITED,119.0,79.0,40.0,26.4092321349312,4506.0,1.0,1.0
2023-04,A84030,ECONSULT HEALTH LIMITED,136.0,108.0,28.0,13.586413586413586,10010.0,1.0,1.0
2023-04,A84031,"ECONSULT HEALTH LIMITED, ACCURX LIMITED",215.0,171.0,44.0,20.922537952510705,10276.0,1.0,1.0
2023-04,A84033,ECONSULT HEALTH LIMITED,40.0,10.0,30.0,6.93721817551162,5766.0,1.0,1.0
2023-04,A84034,ECONSULT HEALTH LIMITED,30.0,22.0,8.0,5.360972122944961,5596.0,1.0,1.0
2023-04,A84035,ECONSULT HEALTH LIMITED,60.0,46.0,14.0,10.08233910267182,5951.0,1.0,1.0
2023-04,A84036,"ECONSULT HEALTH LIMITED, ACCURX LIMITED",1169.0,834.0,335.0,22.566260641275605,51803.0,1.0,1.0
2023-04,A84037,ECONSULT HEALTH LIMITED,50.0,15.0,35.0,8.33472245374229,5999.0,1.0,1.0
2023-04,A84038,ECONSULT HEALTH LIMITED,157.0,130.0,27.0,20.410816432657302,7692.0,1.0,1.0
2023-04,A84039,ECONSULT HEALTH LIMITED,201.0,156.0,45.0,31.608743513131,6359.0,1.0,1.0
2023-04,A84040,ECONSULT HEALTH LIMITED,35.0,22.0,13.0,9.681881051175658,3615.0,1.0,1.0
2023-04,A84042,ECONSULT HEALTH LIMITED,42.0,40.0,2.0,20.46783625730994,2052.0,1.0,1.0
2023-04,A84044,ECONSULT HEALTH LIMITED,412.0,355.0,57.0,57.04001107573031,7223.0,1.0,1.0
2023-04,A84045,ECONSULT HEALTH LIMITED,129.0,103.0,26.0,23.95543175487465,5385.0,1.0,1.0
2023-04,A84047,ECONSULT HEALTH LIMITED,134.0,95.0,39.0,25.10773842982949,5337.0,1.0,1.0
2023-04,A84604,ECONSULT HEALTH LIMITED,31.0,30.0,1.0,6.490787269681742,4776.0,1.0,1.0
2023-04,A84614,None/Unknown,0.0,0.0,0.0,0.0,2022.0,0.0,0.0
2023-04,A84619,ECONSULT HEALTH LIMITED,45.0,32.0,13.0,11.029411764705882,4080.0,1.0,1.0
2023-04,A85001,ECONSULT HEALTH LIMITED,149.0,136.0,13.0,19.66737064413939,7576.0,1.0,1.0
