gp_code,list_jul26
C81038,12514
C81039,3600
C81040,8505
C81041,11959
C81042,13052
C81044,8507
C81045,13027
C81046,4652
C81047,12976
C81048,11065
C81049,9744
C81050,9637
C81051,26185
C81052,7017
C81053,10978
C81054,41516
C81055,5134
C81056,6834
C81057,10709
C81058,8927
C81059,6031
C81060,10917
C81061,17510
C81062,8767
C81063,9518
C81064,12861
C81065,8936
C81066,12007
C81067,9953
C81068,12087
C81069,13658
C81070,3786
C81071,11762
C81072,45702
C81073,12841
C81075,5214
C81080,8043
C81081,20065
C81082,3527
C81083,16889
C81084,20293
C81086,7916
C81089,6084
C81091,8461
C81092,5669
C81094,8242
C81095,4811
C81096,5726
C81097,5617
C81099,10485
C81101,8346
C81106,7522
C81108,15472
C81110,12233
C81113,6547
C81114,14198
C81115,4934
C81118,8525
C81604,5064
C81611,9763
C81615,2328
C81616,5415
C81634,4644
C81638,4068
C81640,3593
C81647,4076
C81649,8082
C81652,4900
C81653,4441
C81655,3731
C81658,8163
C81662,8620
C82001,25976
C82002,10858
C82003,11494
C82005,10802
C82007,10706
C82008,8322
C82009,29416
C82010,14938
C82011,12482
C82012,12210
C82013,13493
C82014,18115
C82016,11023
C82017,16066
C82018,13946
C82019,5841
C82020,19456
C82021,7141
C82022,7356
C82024,19826
C82025,10709
C82026,8239
C82027,7398
C82028,7330
C82030,7033
C82031,14906
C82032,7350
C82033,11477
C82034,9635
C82035,7813
C82037,10265
C82038,37468
C82039,11071
C82040,9169
C82041,12990
C82042,12850
C82043,10872
C82044,9468
C82045,8768
C82046,17087
C82047,10656
C82048,5439
C82050,13878
C82051,11881
C82052,3692
C82053,11000
C82054,12565
C82055,14363
C82056,14011
C82059,1866
C82060,4116
C82061,15665
C82062,9025
C82063,12041
C82064,12288
C82066,17625
C82067,8628
C82068,12374
C82070,10058
C82071,14381
C82072,8753
C82073,13749
C82075,11054
C82076,6805
C82077,12697
C82078,11848
C82079,6727
C82080,4626
C82082,5525
C82084,3722
C82086,10072
C82088,10384
C82091,10184
C82092,4786
C82093,12656
C82094,6784
C82095,9109
C82096,10259
C82097,3088
C82098,7210
C82099,4548
C82100,6532
C82102,4850
C82103,6743
C82107,7727
C82109,5347
C82111,15295
C82112,9648
C82114,2365
C82116,5114
C82119,3295
C82120,4005
C82121,14806
C82124,23519
C82600,6289
C82610,6879
C82611,7040
C82614,4241
C82620,2284
C82624,8215
C82627,8283
C82628,3532
C82631,7047
C82634,6551
C82639,10084
C82642,9522
C82643,14388
C82644,5106
C82649,5811
C82650,5451
C82651,3876
C82653,2055
C82656,3163
C82659,2912
C82660,7488
C82662,8715
C82667,8224
C82669,4195
C82670,779
C82671,8320
C82676,7525
C82678,5377
C82680,4710
C83001,26569
C83002,8493
C83003,20765
C83004,11633
C83005,7286
C83007,26819
C83008,7878
C83009,8516
C83010,18694
C83011,12681
C83013,7888
C83014,10227
C83015,8730
C83018,11926
C83019,22334
C83020,10400
C83022,22705
C83023,17233
C83024,3660
C83025,18951
C83026,23014
C83027,10342
C83028,7916
C83029,4199
C83030,5265
C83031,12150
C83032,6865
C83033,3811
C83035,12663
C83036,8455
C83037,9901
C83038,7930
C83039,5638
C83040,14387
C83041,7573
C83042,7014
C83043,10608
C83044,12568
C83045,16695
C83046,6069
C83048,13068
C83049,9964
C83051,8443
C83052,4208
C83053,2452
C83054,16249
C83055,6216
C83056,14169
C83057,8386
C83058,9519
C83059,13823
C83060,15314
C83061,9016
C83062,5946
C83063,15784
C83064,14273
C83065,9730
C83067,7108
C83072,9463
C83073,8352
C83074,5036
C83075,10325
C83078,8816
C83079,7557
C83080,5889
C83082,10942
C83083,7537
C83085,13477
C83611,7331
C83613,5271
C83614,3602
C83617,9310
C83626,11138
C83634,5092
C83635,5373
C83641,4009
C83643,2370
C83649,5106
C83650,4213
C84001,35084
C84004,9729
C84005,28239
C84008,6228
C84009,13556
C84010,18680
C84011,8872
C84012,11904
C84013,15881
C84014,11779
C84016,15924
C84017,26878
C84018,12308
C84019,12097
C84020,6758
C84021,13003
C84023,36556
C84024,29333
C84025,8227
C84026,12686
C84028,7757
C84029,22536
C84030,11980
C84032,17665
C84033,9407
C84034,8528
C84035,11422
C84036,18934
C84037,12712
C84039,11915
C84042,7047
C84043,12385
C84044,10413
C84045,8023
C84046,9118
C84047,10682
C84049,12048
C84051,18894
C84053,16901
C84055,11111
C84057,4413
C84059,13138
C84060,8585
C84061,9596
C84063,8554
C84064,10587
C84065,5219
C84066,10520
C84067,5546
C84069,13014
C84072,10495
C84074,5418
