gp_code,partner_fte,salaried_fte,locum_fte,registrar_fte,foundation_other_fte,nurse_fte,dpc_fte,admin_fte
D83026,2.44,0.656,0.0,1.066666667,0.0,4.72,9.448066956,17.32666667
D83027,2.786666667,4.168949732,0.0,1.92,0.0,5.165957305,5.893603432,12.92533333
D83028,2.52,1.106666667,0.0,0.0,0.0,0.64,10.28666667,20.47333333
D83029,2.88,6.0,0.0,3.2,0.0,5.346666667,5.866666667,14.62666667
D83030,1.813333333,0.653333333,0.0,0.0,0.0,1.866666667,4.813333333,9.74
D83033,2.853333333,2.122666667,0.0,2.133333333,0.0,3.56,12.42,11.14666667
D83034,0.72,5.020266667,0.0,1.066666667,0.0,9.52,10.16,18.10666667
D83035,2.4,0.0,0.0,0.0,0.0,2.813333333,4.44,21.42666667
D83037,4.933333333,3.226666667,0.0,2.24,0.0,6.693333333,12.82666667,24.82
D83038,4.933333333,3.866666667,0.0,4.48,0.0,2.84,1.626666667,17.79333333
D83040,4.8,1.6,0.0,2.133333333,0.0,0.8,4.0,6.186666667
D83041,1.92,3.0312,0.0,2.133333334,0.0,2.733333333,7.026666667,14.36666667
D83043,3.3200000000000003,0.0,0.0,0.0,0.0,0.64,2.8,5.2
D83044,4.293333333,2.106666667,0.0,0.0,0.0,5.973333333,17.15333333,27.38211063
D83045,2.533333333,0.0,0.0,0.0,0.0,1.066666667,2.666666667,4.906666667
D83046,2.813333333,4.811616399,0.0,8.746666667,0.0,12.50666667,6.313333333,40.25414928
D83047,7.533333334,2.033333333,0.0,1.92,0.0,2.92,14.77333333,19.94666667
D83048,2.24,3.16,0.64,1.066666667,0.0,6.733333333,7.106666667,24.92
D83049,1.093333333,2.4,0.0,0.0,0.0,2.026666667,4.8736,8.713333334
D83050,3.573333334,5.16,0.0,1.92,0.0,11.61333333,11.06666667,46.60422127
D83051,1.366666667,4.62,0.0,1.066666667,0.0,6.339290639,2.773333333,20.77333333
D83053,1.906666667,4.273333333,0.0,1.066666667,0.0,5.053333333,5.2,22.99333333
D83054,1.7999999999999998,1.973333333,0.0,5.546666667,0.0,2.346666667,3.706666667,10.82
D83055,5.093333333,6.333333333,0.0,5.973333333999999,0.0,2.613333333,9.933333333,40.04
D83056,2.0,1.68,0.0,1.066666667,0.0,2.506666667,10.16,14.09333333
D83057,4.426666667,3.853333333,0.0,2.133333333,0.0,3.94,7.013333333,24.8487773
D83059,0.0,4.860266667,0.0,3.413333333,0.0,4.04,8.2,29.70666667
D83060,6.413333334,3.083333333,0.74,0.0,0.0,8.333333333,7.853333333,32.71333333
D83061,3.2266666670000004,0.64,0.0,0.0,0.0,1.946666667,7.013333333,11.64
D83062,1.36,2.08,0.0,0.0,0.0,1.96,1.653333333,5.853333333
D83064,1.066666667,1.066666667,0.0,0.0,0.0,2.906666667,5.38,5.913333333
D83067,2.226666666,1.226666667,0.0,0.0,0.0,2.433333333,3.506666667,9.0
D83069,3.0,0.0,0.0,0.0,0.0,5.753333333,9.253333333,8.993333333
D83070,1.92,0.426666667,0.0,1.706666667,0.0,1.293333333,5.706666667,9.48
D83073,2.866666666,0.706666667,0.0,1.92,0.0,1.426666667,0.48,4.96
D83074,0.856541052,6.626666667,0.0,0.0,0.0,1.64,3.413333333,13.29333333
D83075,3.2,0.0,0.0,0.0,0.0,4.56,0.986666667,11.44
D83076,1.8,0.0,0.0,0.853333333,0.0,0.96,1.2,9.726666667
D83078,2.266666667,0.64,0.0,0.0,0.0,6.613333333,6.373333333,16.81168235
D83079,3.2,2.273333333,0.0,0.0,0.0,3.893333333,5.92,12.32
D83080,1.0,0.0,0.0,2.133333334,0.0,2.026666667,3.0,6.673333333
D83081,0.853333333,2.093333333,0.0,2.133333333,0.0,2.52,7.223490439,8.66
D83084,1.0,0.64,0.0,4.053333332999999,0.0,2.066666667,1.653333333,5.493333333
D83608,3.444133333,0.0,0.0,4.266666667,0.0,2.253333333,1.533333333,10.38666667
D83610,2.946666667,3.34,0.0,2.773333333,0.0,1.946666667,6.546666667,16.54666667
E81002,2.66,2.253333333,0.0,0.0,0.0,3.206666667,0.693333333,8.02
E81003,6.133333334,2.784949732,0.0,4.053333333,0.0,7.173333333,6.273333333,25.38666667
E81004,2.426666667,2.032,0.0,0.0,0.0,4.18,4.22,11.31333333
E81005,5.36,0.0,0.0,2.706666667,0.0,2.253333333,4.8,14.58666667
E81006,2.133333333,0.693333333,0.48,4.053333333,0.0,0.213333333,0.0,5.193333334
E81007,1.973333333,0.0,0.0,0.0,0.0,1.28,5.266666667,9.02
E81008,5.6,0.64,0.0,4.693333333,0.0,4.6,2.013333333,15.09733333
E81009,2.266666667,4.053333333,0.0,0.853333333,0.0,3.426666667,1.88,16.01333333
E81010,2.933333333,1.136,0.0,0.0,0.0,1.746666667,2.773333333,8.106666667
E81012,6.840030118,0.0,0.0,0.0,0.0,1.221333333,5.490157106,13.16
E81013,3.6266666670000003,0.0,0.0,4.053333334,0.0,2.853333333,2.373333333,15.37333333
E81014,3.0,1.866666667,0.0,4.8,0.0,4.0,1.8,13.38666667
E81015,2.746666667,2.826666667,0.0,1.066666667,0.0,4.04,8.126666667,15.5
E81016,2.88,0.4,0.0,2.133333334,0.0,1.52,0.933333333,6.62
E81018,5.013333333,0.0,0.0,4.586666665999999,0.0,0.866666667,1.68,12.73333333
E81019,4.373333334,3.106666667,0.0,4.693333334,0.0,2.68,8.853333333,24.69333333
E81021,2.7199999999999998,2.666666667,0.0,2.986666666,0.0,4.293333333,3.38,26.02666667
E81022,0.853333333,2.72,0.0,0.0,0.0,3.653333333,5.733333333,16.03066667
E81024,2.382133333,1.742133333,0.0,0.0,0.0,3.173333333,2.72,6.08
E81025,3.3333333329999997,0.0,0.0,3.2,0.0,0.733333333,1.68,7.026666667
E81026,3.56,0.96,0.382303741,2.9866666669999997,0.0,2.386666667,0.849066667,14.54
E81027,5.6000000000000005,0.0,0.0,0.0,0.0,0.986666667,1.973333333,11.76
E81028,4.453333333,0.0,0.0,3.52,0.0,1.626666667,3.426666667,11.66666667
E81029,4.6,5.66,0.0,2.56,0.0,5.826666667,5.06,20.14608235
E81030,0.0,1.693333333,0.9066666670000001,0.0,0.0,3.533333333,4.533333333,9.770031362
E81031,2.133333333,0.266666667,0.0,0.0,0.0,0.6,1.866666667,6.433333333
E81032,4.526666667,13.19146667,0.0,2.773333333,0.0,12.52690496,8.007333333,43.40833333
E81033,3.7199999999999998,3.373333333,0.0,4.266666667,0.0,4.746666667,6.4,26.02666667
E81034,3.573333333,0.0,0.0,0.0,0.0,1.2,2.0,6.866666667
E81035,3.333363451,0.426666667,0.0,0.853333333,0.0,0.0,3.728,11.76266667
E81036,0.0,0.437333333,0.0,0.0,0.0,0.4,4.626666667,8.466666667
E81037,9.333333333,8.311616399,0.0,5.4399999999999995,0.853333333,7.586666667,9.58,65.42045965
E81038,3.853333333,5.472,0.0,4.266666667,0.0,4.026666667,3.36,18.69333333
E81040,6.1333333329999995,0.0,0.0,2.986666666,0.0,1.306666667,1.378069921,11.1832439
E81041,2.6799999999999997,0.0,0.0,0.0,0.0,1.76,3.0,10.41333333
E81043,1.093333333,2.930666667,0.0,2.88,0.0,1.0,3.693333333,11.63379298
E81044,0.0,3.0,0.0,0.0,0.0,3.826666667,5.333333333,20.66
E81045,2.0,0.666666667,0.0,0.0,0.0,2.0,0.666666667,9.12
E81046,4.0,0.0,0.0,2.133333334,0.0,2.306666667,1.413333333,15.03013333
E81047,3.306666667,2.506666667,0.0,3.2,0.0,5.459290639,4.923535449,18.28
E81048,3.144,1.856,0.382303741,5.76,0.0,2.0,5.066666667,11.85333333
E81049,1.973333333,0.0,0.0,0.0,0.0,1.733333333,1.053333333,4.826666667
E81050,7.333333333,0.533333333,0.0,3.413333333,0.0,4.586666667,6.96,15.12666667
E81052,0.96,0.0,0.0,0.0,0.0,1.173333333,1.586666667,14.10666667
E81057,7.213333333,0.453333333,0.0,1.813333333,0.0,7.32,14.06666667,34.74666667
E81060,2.8,1.573333333,0.32,0.0,0.0,0.946666667,0.0,5.82
E81061,1.946666667,1.066666667,0.0,0.0,0.0,0.613333333,0.48,4.986666667
E81063,5.066666667,0.24,0.0,0.0,0.0,1.52,1.186666667,6.653333333
E81069,2.680030118,0.266666667,0.0,1.066666667,0.0,0.853333333,0.0,5.093333334
E81073,2.0,0.84,0.6,4.266666666,0.0,2.346666667,3.746666667,13.48
E81074,5.333333333,0.853333333,0.0,2.133333334,0.0,4.453333333,1.813333333,14.11333333
E81076,2.666666666,0.52,0.0,0.0,0.0,0.426666667,1.306666667,3.826666667
E81612,0.72,0.4,0.0,0.0,0.0,1.293333333,0.666666667,5.72
E81615,1.96,0.0,0.0,0.0,0.0,0.173333333,1.48,4.52
E81617,1.466666667,0.0,0.0,0.0,0.0,1.346666667,0.0,6.56
E81631,1.4,0.0,0.08,0.0,0.0,0.373333333,0.346666667,5.186666667
E81632,3.12,0.0,0.0,2.986666666,0.0,0.0,1.826666667,9.46
E81633,0.933333333,0.0,0.0,0.0,0.0,0.213333333,0.186666667,6.08
E81635,0.933333333,0.133333333,0.133333333,0.0,0.0,1.173333333,1.111403254,3.573333333
E82001,6.8266666670000005,12.72,0.0,4.586666665999999,0.0,6.893333333,9.828,52.88501568
E82002,5.12,0.96,0.0,2.773333333,0.0,1.8,3.52,10.50666667
E82004,1.96,0.0,0.0,0.0,0.0,0.48,1.066666667,3.56
E82005,10.08,5.293333333,0.0,6.08,0.0,16.12,15.16,74.78426667
E82006,0.0,2.133333333,0.0,0.853333333,0.0,1.813333333,0.986666667,11.45333333
E82007,3.8000000000000003,0.8,0.0,0.0,0.0,2.026666667,1.0,10.84
E82008,5.2,0.96,0.0,0.0,0.0,3.36,0.0,13.0
E82009,4.353333333,1.32,0.0,0.0,0.0,3.44,1.373333333,18.70666667
E82012,4.346666667,2.4,0.0,0.0,0.0,2.773333333,4.173333333,17.86666667
E82013,10.392,3.7736,0.0,15.893333333000001,0.0,3.826666667,14.94533333,37.48
E82014,4.106666666,5.706666667,0.0,4.906666667,0.0,6.333333333,1.706666667,29.69168235
E82015,2.8,3.093333333,0.0,0.0,0.0,0.853333333,3.693333333,11.18666667
E82017,3.066666667,1.333333333,0.0,5.973333332999999,0.0,0.88,3.693333333,12.34666667
E82018,5.8,2.106666667,0.933333333,1.066666667,0.0,0.646666667,0.933333333,22.82368235
E82019,6.073333333,3.08,0.0,6.186666667,0.0,2.586666667,0.8,13.41333333
E82020,3.68,0.0,0.0,0.0,0.0,0.48,0.16,7.693333333
E82021,2.586666667,0.8,0.0,0.0,0.0,1.546666667,2.88,7.26
E82022,3.546666666,3.88872,0.0,3.2,0.0,3.826666667,0.706666667,19.91333333
E82023,4.026666667,1.173333334,1.235637074,2.9866666669999997,0.0,3.24,2.2,13.30666667
