gp_code,practice_name,registered_patients,weighted_patients,weighting_ratio
A89009,HERRINGTON MEDICAL CENTRE,9527.0,10795.7,1.1331688884223785
A89010,THE STEPHENSON MEDICAL PRACTICE,12347.25,13951.38,1.1299179979347627
A89011,VILLAGE SURGERY PARTNERSHIP,4775.25,5450.42,1.1413894560494215
A89012,GALLERIES MEDICAL PRACTICE,11429.0,11799.16,1.0323877854580452
A89013,THE NEW CITY MEDICAL GROUP,5606.5,6792.63,1.2115633639525552
A89015,"FULWELL MEDICAL CENTRE,",9228.75,10168.89,1.1018707842340512
A89016,ST BEDE MEDICAL CENTRE,9294.5,10247.82,1.10256818548604
A89017,MILLFIELD MEDICAL GROUP,14608.5,16626.6,1.1381456001642878
A89018,ASHBURN MEDICAL CENTRE,5331.75,6103.69,1.1447817320767102
A89019,BRIDGE VIEW MEDICAL GROUP,14986.0,17612.68,1.1752755905511811
A89020,FORGE MEDICAL PRACTICE,8682.75,9550.77,1.099970631424376
A89021,KEPIER MEDICAL PRACTICE,8527.5,9751.71,1.143560246262093
A89022,CONCORD MEDICAL PRACTICE,5206.0,5946.86,1.1423088743757202
A89023,"HOUGHTON MEDICAL GROUP,",8333.5,9930.41,1.19162536749265
A89024,THE BROADWAY MEDICAL PRACTICE,7569.5,8913.55,1.17756126560539
A89025,SUNDERLAND GP ALLIANCE MEDICAL PRACTICE,10188.5,10026.93,0.984141924719046
A89026,NEW WASHINGTON MEDICAL GROUP,7242.75,8039.65,1.1100272686479582
A89027,SPRINGWELL MEDICAL GROUP,6407.75,7145.65,1.1151574265537825
A89028,GRANGEWOOD SURGERY,7397.25,8463.31,1.1441157186792388
A89030,WESTBOURNE MEDICAL GROUP,6613.5,7524.65,1.1377712255235504
A89031,HYLTON MEDICAL GROUP,7099.0,7615.16,1.0727088322298914
A89032,NEW SILKSWORTH MEDICAL PRACTICE,9203.0,10648.98,1.1571205041834185
A89034,PARK LANE PRACTICE,4368.5,4297.47,0.9837404143298616
A89035,SOUTHLANDS MEDICAL GROUP,10407.25,11911.94,1.1445809411708185
A89036,CASTLETOWN MEDICAL CENTRE,2112.25,2514.29,1.190337318025802
A89040,MONKWEARMOUTH HEALTH CENTRE,4652.25,5409.5,1.162770702348326
A89041,HAPPY HOUSE SURGERY,8233.5,9015.27,1.0949498997995992
A89614,SUNDERLAND GP ALLIANCE SOUTH HYLTON SURG,4566.5,5228.48,1.1449644147596627
A89616,RICKLETON MEDICAL CENTRE,2724.0,2847.41,1.0453046989720998
A89617,I J HEALTHCARE,3651.5,4196.43,1.1492345611392578
A89623,CHESTER SURGERY,3023.75,3262.7,1.0790243902439023
B81003,BEACON MEDICAL,12787.0,13858.33,1.0837827481035427
B81004,"EASTGATE MEDICAL GROUP, HORNSEA",12410.25,16190.48,1.3046054672548901
B81005,THE CENTRAL SURGERY BARTON,16967.0,19017.45,1.1208492956916367
B81006,HUMBER PRIMARY CARE,13544.75,17303.69,1.2775200723527564
B81007,WINTERTON MEDICAL PRACTICE,9816.75,11629.65,1.1846741538696615
B81008,HULL FAMILY PRACTICE,37842.75,39039.6,1.0316269298610699
B81009,MARKET WEIGHTON GROUP PRACTICE,9200.5,9604.42,1.0439019618498995
B81011,KINGSTON HEALTH (HULL),10431.25,11045.04,1.0588414619532656
B81012,DR AP KUMAR,3294.5,3552.37,1.0782728790408256
B81013,MONTAGUE MEDICAL PRACTICE,8851.75,8536.12,0.9643426441099219
B81015,CLEE MEDICAL CENTRE,16884.5,17552.97,1.0395907489117238
B81016,PELHAM MEDICAL GROUP,10263.25,10486.91,1.021792317248435
B81017,THE QUAYS MEDICAL PRACTICE,17391.75,17326.41,0.9962430462719393
B81018,ORCHARD 2000 GROUP,9300.25,9524.47,1.0241090293271686
B81020,THE SUTTON MANOR SURGERY,8273.0,8985.17,1.0860836455941012
B81022,CAMBRIDGE AVENUE & MESSINGHAM MC,12785.25,13956.45,1.091605561095794
B81024,WILLERBY AND SWANLAND SURGERY,10603.25,10880.06,1.026106146700304
B81025,HOLDERNESS HEALTH,33826.75,43171.01,1.276238775525287
B81026,ANCORA MEDICAL PRACTICE,20394.5,20575.61,1.00888033538454
B81027,ST ANDREWS SURGERY,8002.5,8736.8,1.0917588253670727
B81029,THE SNAITH AND RAWCLIFFE MEDICAL GROUP,11743.25,13695.2,1.1662188917037448
B81030,SLC MEDICAL GROUP,24494.5,25978.03,1.0605658413113148
B81031,WOODFIELD MEDICAL,21253.5,21629.99,1.0177142588279577
B81032,WILBERFORCE SURGERY,5475.25,5789.62,1.0574165563216291
B81034,LEVEN & BEEFORD MEDICAL PRACTICE,11478.5,14286.68,1.2446469486431153
B81035,THE AVENUES MEDICAL CENTRE,7166.5,7151.17,0.9978608804855927
B81036,POCKLINGTON GROUP PRACTICE,18719.0,19017.5,1.0159463646562317
B81037,THE PARK SURGERY,14584.0,18041.53,1.2370769336258913
B81038,THE OAKS MEDICAL CENTRE,8164.0,8771.99,1.0744720725134738
B81039,THE ROXTON PRACTICE,34739.25,38020.75,1.0944608763862202
B81040,DR JAD WEIR & PARTNERS,15592.0,16428.16,1.053627501282709
B81041,GILBERDYKE HEALTH CENTRE,6195.5,6941.03,1.1203341134694536
B81042,MANOR ROAD SURGERY,13817.25,14371.18,1.0400897428938465
B81043,SOUTH AXHOLME PRACTICE,14963.5,18023.48,1.204496274267384
B81045,ASHBY TURN PRIMARY CARE PARTNERS,12477.25,13197.59,1.0577322727363803
B81046,THE BRIDGE GROUP PRACTICE,8798.5,9743.78,1.107436494857078
B81047,WOLSELEY MEDICAL CENTRE,7552.25,8299.43,1.098934754543348
B81048,MODALITY PARTNERSHIP (HULL),56886.0,55941.63,0.9833989030692964
B81051,OLD FIRE STATION SURGERY,10340.0,11292.68,1.0921353965183753
B81052,PRINCES MEDICAL CENTRE,8180.75,7931.43,0.9695235766891789
B81054,CLIFTON HOUSE MEDICAL CENTRE,7900.25,8799.26,1.1137951330654094
B81061,THE RIDINGS MEDICAL GROUP,47395.5,47579.07,1.0038731525144793
B81063,BRIDGE STREET SURGERY,7261.75,8994.37,1.238595379901539
B81064,CHURCH LANE MEDICAL CENTRE,10463.75,11301.51,1.0800630749014455
B81065,TRENT VIEW MEDICAL PRACTICE,11121.5,13082.99,1.1763691948028594
B81068,BARTHOLOMEW MEDICAL GROUP,17684.0,18251.17,1.0320724949106537
B81069,DRS REDDY AND NUNN,28113.25,35354.1,1.2575600473086535
B81074,CITY HEALTH PRACTICE LTD,12492.25,13445.85,1.0763353279033
B81075,HASTINGS MEDICAL CENTRE,3534.75,3772.71,1.0673201782304265
B81082,NORTH BEVERLEY MEDICAL CENTRE,6503.5,6440.89,0.990372876143615
B81085,HAXBY GROUP HULL,5452.0,5362.08,0.9835069699192956
B81087,BIRKWOOD MEDICAL CENTRE,7907.75,8090.42,1.0231001232967658
B81088,HOWDEN MEDICAL PRACTICE,8137.25,8820.56,1.083973086730775
B81090,THE OSWALD ROAD MEDICAL SURGERY,4636.5,4814.96,1.038490240483123
B81091,LITTLEFIELD SURGERY,5347.75,5527.82,1.033672105090926
B81092,"THE MEDICAL CENTRE, DRIFFIELD",12223.75,14726.24,1.2047235913692607
B81097,DELTA HEALTHCARE,2682.5,2764.95,1.030736253494874
B81099,THE KIRTON LINDSEY AND SCOTTER SURGERY,10573.25,12462.72,1.1787028586290875
B81100,DR AC MILNER,4210.75,4386.07,1.041636288072196
B81101,GREENGATES MEDICAL GROUP,23501.25,23549.05,1.0020339343651934
B81104,CAMPUS HEALTH CENTRE,7768.25,6123.0,0.788208412448106
B81108,DR A SINHA,4535.75,4505.32,0.9932910764482169
B81109,RIVERSIDE SURGERY,11971.75,13906.69,1.1616254933489256
B81112,JAMES ALEXANDER FAMILY PRACTICE,13076.25,13407.99,1.0253696587324348
B81113,CEDAR MEDICAL PRACTICE,9778.0,10433.64,1.0670525669871138
B81118,WEST COMMON LANE TEACHING PRACTICE,7788.75,8013.15,1.0288107847857486
B81119,GOODHEART SURGERY,6440.75,6400.71,0.9937833326864107
B81603,ROXTON AT WEELSBY VIEW,0.0,0.0,
B81606,STIRLING MEDICAL CENTRE (MATHEWS),4386.25,4397.79,1.0026309489883158
B81616,DR GT HENDOW'S PRACTICE,2873.25,3095.5,1.0773514313060124
B81617,IRONSTONE CENTRE,9708.0,8993.66,0.9264173877214669
B81619,PARK VIEW SURGERY,2793.0,2691.12,0.9635230934479054
B81628,BARNETBY MEDICAL CENTRE,2843.25,3469.12,1.220124857117735
B81631,DRS RAUT AND THOUFEEQ,4663.0,4820.83,1.033847308599614
B81635,LAURBEL SURGERY,3576.5,3968.57,1.1096239340137006
B81642,DR OZ QURESHI,4322.0,4749.43,1.0988963442850532
B81645,EAST PARK PRACTICE,2513.25,2156.08,0.8578852083955038
B81647,WEST TOWN SURGERY,3094.5,3400.5,1.0988851187590887
B81648,THE KILLINGHOLME SURGERY,1623.75,1787.49,1.1008406466512701
B81653,KING STREET MEDICAL CENTRE,7452.25,7531.31,1.0106088765138046
B81655,GREENLANDS SURGERY,3197.75,3100.72,0.9696567899304198
B81656,RAJ MEDICAL CENTRE,6794.25,6292.11,0.9260933877911469
B81663,CORE CARE FAMILY PRACTICE,2903.0,2909.23,1.0021460558043402
B81665,HEALING PARTNERSHIP,2364.0,2163.66,0.9152538071065989
B81666,DR MITCHELL,2452.25,2555.49,1.0421001121419105
B81675,NEWINGTON SURGERY,14159.25,13156.04,0.9291480834083726
B81697,DR P SURESH BABU,2843.75,2883.49,1.0139745054945055
B82002,MILLFIELD SURGERY,7825.25,8717.68,1.1140449186926935
B82004,NIDDERDALE GROUP PRACTICE,11006.25,11542.91,1.04875956842703
B82005,PRIORY MEDICAL GROUP,58483.5,52060.17,0.8901685090666598
B82007,TOWNHEAD SURGERY,9639.25,11903.88,1.2349384028840418
B82008,NORTH HOUSE SURGERY,8744.0,9481.44,1.0843366880146386
B82010,RIPON SPA SURGERY,7896.75,7799.1,0.9876341532909109
B82011,SHERBURN SURGERY,5620.5,6389.16,1.1367600747264477
B82012,THE LEEDS ROAD PRACTICE,15340.0,14289.92,0.9315462842242503
B82013,MOSS HEALTHCARE HARROGATE,20333.75,18913.15,0.930135857871765
B82014,KINGSWOOD SURGERY,6890.25,6643.54,0.9641943325713871
B82016,STRAYSIDE HEALTH,8372.5,7847.51,0.9372959092266349
B82017,WHITBY GROUP PRACTICE,13559.75,16186.7,1.1937314478511774
B82018,ESCRICK SURGERY,6660.5,7649.9,1.1485474063508745
B82019,TOPCLIFFE SURGERY,4182.25,4356.67,1.0417048239583957
B82021,DALTON TERRACE SURGERY,9831.5,9786.88,0.9954615267253216
B82022,GREAT AYTON SURGERY,5672.75,6536.92,1.152337049931691
B82023,CATTERICK VILLAGE SURGERY,6270.25,6956.16,1.1093911726007735
B82024,EASTFIELD MEDICAL CENTRE,9348.0,10831.67,1.1587152332049637
B82025,DERWENT PRACTICE,21171.5,21348.18,1.0083451810216564
B82026,HAXBY GROUP PRACTICE,32514.75,33966.03,1.044634512029156
B82027,MOWBRAY SQUARE MED CENTRE,14163.25,13657.22,0.9642716184491553
B82029,DOCTORS LANE SURGERY,3243.75,4096.91,1.2630165703275529
B82030,THE HOLROYD SURGERY,5867.0,6760.83,1.1523487301857849
B82031,SHERBURN GROUP PRACTICE,10970.5,10560.87,0.9626607720705529
B82032,CHURCH LANE SURGERY,12283.0,13240.72,1.0779711796792315
B82033,PICKERING MEDICAL PRACTICE,10962.5,12655.08,1.1543972633979476
B82034,QUAKERS LANE SURGERY,6436.25,7363.58,1.1440792386871237
B82035,SCORTON MEDICAL CENTRE,3575.25,4346.93,1.2158394517865885
B82036,PARK STREET,7742.0,7952.2,1.0271506070782743
B82037,FILEY SURGERY,8867.25,11428.82,1.2888798669260482
B82038,HAXBY GROUP SCARBOROUGH,24902.25,25600.32,1.028032406710237
B82041,BEECH TREE SURGERY,15947.75,17403.72,1.0912962643633115
B82042,LAMBERT MEDICAL CENTRE,8569.25,9600.84,1.1203827639525046
B82044,STOKESLEY SURGERY,9407.75,10473.06,1.1132374903669846
