gp_code,allf2f_early,allf2f_late,d_allf2f,gpf2f_early,gpf2f_late,d_gpf2f,othf2f_early,othf2f_late,d_othf2f,gpf2f_ofgp_early,gpf2f_ofgp_late,d_gpf2f_ofgp
M84032,80.61,87.71,7.1,46.6,46.96,0.36,34.01,40.75,6.74,76.46,81.34,4.88
M84034,33.65,56.34,22.69,20.34,26.97,6.63,13.31,29.37,16.06,24.07,41.9,17.83
M84035,80.43,56.13,-24.3,38.59,27.15,-11.44,41.84,28.98,-12.85,78.75,54.9,-23.86
M84036,47.95,48.42,0.47,9.78,10.82,1.03,38.17,37.61,-0.56,21.95,23.33,1.37
M84037,85.14,70.48,-14.66,60.61,44.94,-15.67,24.53,25.54,1.01,93.67,70.04,-23.63
M84040,40.82,37.43,-3.39,12.87,10.82,-2.05,27.95,26.61,-1.34,19.57,15.83,-3.74
M84041,41.03,39.93,-1.1,18.87,19.13,0.25,22.16,20.81,-1.35,29.64,28.94,-0.7
M84042,57.16,51.86,-5.3,22.87,20.24,-2.63,34.29,31.62,-2.67,39.14,35.7,-3.43
M84043,61.33,48.68,-12.64,18.03,19.65,1.63,43.3,29.03,-14.27,62.96,49.79,-13.17
M84044,78.35,75.05,-3.3,39.47,44.17,4.7,38.88,30.88,-8.0,68.25,72.14,3.9
M84046,80.09,74.36,-5.73,58.77,55.04,-3.73,21.32,19.32,-2.0,78.08,73.68,-4.4
M84047,59.85,57.25,-2.6,30.17,32.27,2.1,29.68,24.97,-4.71,48.4,46.76,-1.65
M84049,74.2,78.32,4.12,24.3,34.67,10.37,49.9,43.65,-6.25,71.62,69.77,-1.84
M84050,60.92,66.69,5.76,32.05,29.02,-3.02,28.88,37.67,8.79,49.01,57.65,8.64
M84051,93.81,61.47,-32.33,40.2,35.33,-4.87,53.6,26.14,-27.46,92.43,71.55,-20.88
M84055,56.08,51.23,-4.86,12.06,9.77,-2.29,44.02,41.46,-2.56,26.08,19.17,-6.91
M84059,31.0,33.71,2.71,10.78,8.94,-1.83,20.22,24.77,4.55,25.1,20.69,-4.41
M84060,72.89,71.76,-1.14,33.42,37.64,4.22,39.47,34.12,-5.35,58.78,60.98,2.2
M84061,92.04,86.86,-5.18,73.04,67.64,-5.4,19.0,19.22,0.22,98.42,94.85,-3.57
M84062,74.9,74.26,-0.64,43.45,40.67,-2.79,31.45,33.6,2.15,73.74,66.69,-7.05
M84063,86.86,60.28,-26.58,54.32,31.99,-22.33,32.54,28.29,-4.25,85.6,53.96,-31.65
M84064,42.0,42.28,0.28,14.76,11.76,-3.01,27.23,30.52,3.29,22.47,19.32,-3.15
M84065,96.72,62.27,-34.45,61.92,30.95,-30.97,34.79,31.32,-3.47,96.15,57.24,-38.9
M84066,76.45,57.5,-18.96,35.17,32.22,-2.95,41.28,25.28,-16.0,76.28,76.33,0.05
M84067,98.19,71.1,-27.09,52.41,41.58,-10.84,45.77,29.52,-16.25,98.98,65.86,-33.11
M84069,75.03,69.86,-5.17,39.23,35.05,-4.18,35.79,34.8,-0.99,69.1,67.44,-1.66
M84070,68.9,52.38,-16.52,32.37,19.0,-13.37,36.52,33.38,-3.15,62.32,32.23,-30.09
M84609,56.21,63.73,7.52,15.74,40.92,25.18,40.47,22.81,-17.66,34.81,59.64,24.84
M84612,75.69,58.24,-17.45,66.69,40.7,-25.99,9.0,17.54,8.54,90.55,70.57,-19.99
M84615,65.61,73.76,8.14,15.41,14.85,-0.56,50.21,58.91,8.7,37.62,42.62,5.0
M84616,48.86,40.91,-7.95,30.49,26.69,-3.81,18.37,14.23,-4.14,42.32,42.01,-0.3
M84618,71.57,54.66,-16.9,36.91,33.75,-3.16,34.66,20.92,-13.75,66.04,49.49,-16.55
M84620,86.06,87.13,1.07,46.01,43.0,-3.01,40.05,44.13,4.08,85.98,89.65,3.67
M84621,59.46,55.94,-3.52,22.73,31.93,9.2,36.73,24.01,-12.72,37.19,48.68,11.5
M84627,71.11,65.03,-6.08,35.35,40.21,4.86,35.76,24.82,-10.94,67.71,72.51,4.81
M84629,74.44,72.45,-1.99,46.16,47.47,1.32,28.29,24.98,-3.31,70.19,70.83,0.64
M85001,80.46,74.21,-6.25,35.59,38.97,3.38,44.87,35.24,-9.64,76.06,85.0,8.94
M85005,73.11,67.31,-5.81,32.48,33.8,1.32,40.64,33.51,-7.13,65.13,70.23,5.1
M85006,76.85,68.37,-8.47,42.53,37.09,-5.43,34.32,31.28,-3.04,72.33,65.6,-6.74
M85007,79.59,73.17,-6.42,24.17,28.36,4.19,55.42,44.81,-10.62,61.25,61.93,0.68
M85009,63.84,64.2,0.36,32.44,28.66,-3.78,31.4,35.54,4.14,59.6,64.83,5.22
M85011,92.74,85.82,-6.92,50.71,51.12,0.41,42.03,34.7,-7.33,98.11,93.9,-4.21
M85013,91.5,92.04,0.54,70.57,59.44,-11.14,20.93,32.61,11.68,93.89,91.76,-2.13
M85014,67.64,65.32,-2.32,33.33,33.52,0.18,34.3,31.81,-2.5,53.36,50.55,-2.81
M85016,71.52,63.38,-8.14,31.17,29.15,-2.03,40.35,34.23,-6.12,72.35,56.18,-16.17
M85018,76.03,73.67,-2.36,32.81,29.5,-3.31,43.22,44.16,0.95,63.5,58.59,-4.91
M85019,42.44,39.0,-3.45,14.17,15.85,1.68,28.27,23.15,-5.13,27.28,29.85,2.57
M85020,64.87,56.9,-7.97,28.66,23.63,-5.03,36.21,33.27,-2.94,54.83,46.67,-8.16
M85021,62.98,72.62,9.64,9.27,10.07,0.8,53.71,62.55,8.84,37.49,48.96,11.47
M85023,64.26,75.63,11.38,33.72,40.63,6.91,30.54,35.01,4.47,54.38,76.53,22.15
M85024,67.56,58.84,-8.73,37.4,36.89,-0.51,30.17,21.95,-8.22,57.9,65.08,7.18
M85025,56.58,51.39,-5.2,25.56,24.82,-0.73,31.03,26.56,-4.46,44.03,43.34,-0.69
M85026,72.94,69.85,-3.09,38.28,30.35,-7.93,34.66,39.5,4.84,60.1,58.92,-1.18
M85027,77.57,52.5,-25.07,42.66,21.93,-20.73,34.91,30.57,-4.34,77.26,74.1,-3.17
M85028,55.96,72.89,16.93,18.33,38.87,20.54,37.63,34.02,-3.61,48.06,82.47,34.42
M85029,85.49,57.54,-27.95,54.7,34.04,-20.66,30.79,23.5,-7.3,91.67,79.19,-12.48
M85030,43.48,36.62,-6.86,19.02,15.83,-3.19,24.46,20.79,-3.67,31.61,23.94,-7.67
M85031,78.73,77.98,-0.76,37.02,34.35,-2.67,41.71,43.63,1.92,80.17,79.09,-1.08
M85033,60.75,73.1,12.35,22.05,28.59,6.54,38.7,44.51,5.81,50.04,72.56,22.52
M85034,81.05,47.88,-33.17,53.28,23.24,-30.04,27.77,24.64,-3.13,99.96,33.64,-66.33
M85035,61.96,41.64,-20.33,30.08,15.65,-14.43,31.89,25.98,-5.9,50.59,26.71,-23.88
M85037,76.9,76.81,-0.09,36.28,38.18,1.9,40.62,38.63,-1.99,75.57,78.93,3.37
M85041,59.48,55.43,-4.05,35.76,26.72,-9.03,23.72,28.7,4.98,51.92,46.14,-5.78
M85042,98.95,80.97,-17.98,48.37,39.74,-8.63,50.58,41.23,-9.35,99.24,68.19,-31.05
M85043,74.22,69.88,-4.33,37.87,45.07,7.21,36.35,24.81,-11.54,69.42,62.12,-7.31
M85046,53.38,51.82,-1.56,16.64,25.14,8.49,36.74,26.68,-10.06,46.2,48.86,2.66
M85047,84.4,66.55,-17.85,51.27,39.67,-11.6,33.13,26.89,-6.24,85.26,80.39,-4.87
M85048,63.5,61.71,-1.79,19.98,19.85,-0.13,43.53,41.86,-1.67,59.45,50.26,-9.19
M85051,97.96,59.28,-38.69,66.47,41.9,-24.57,31.49,17.37,-14.12,99.9,50.81,-49.09
M85053,70.24,69.87,-0.37,19.98,40.28,20.3,50.26,29.58,-20.67,55.25,64.23,8.98
M85055,45.64,44.39,-1.25,12.93,20.41,7.49,32.71,23.97,-8.74,22.4,39.53,17.13
M85056,73.82,65.28,-8.54,12.27,14.09,1.81,61.55,51.2,-10.35,77.64,66.12,-11.51
M85058,65.55,47.42,-18.13,28.09,17.7,-10.39,37.46,29.72,-7.74,57.46,30.92,-26.53
M85060,93.93,80.84,-13.09,34.78,34.84,0.07,59.16,46.0,-13.16,97.35,81.09,-16.26
M85061,76.98,60.42,-16.55,46.05,31.84,-14.21,30.93,28.58,-2.35,74.47,46.26,-28.22
M85062,96.95,58.72,-38.23,44.34,30.06,-14.28,52.61,28.66,-23.95,98.1,86.63,-11.47
M85063,73.55,64.91,-8.64,35.87,39.61,3.74,37.67,25.3,-12.38,76.45,56.99,-19.47
M85065,85.2,74.94,-10.27,54.2,48.99,-5.21,31.0,25.95,-5.06,79.77,88.78,9.02
M85066,68.96,69.92,0.96,41.24,40.98,-0.26,27.72,28.94,1.21,67.4,65.06,-2.34
M85070,44.42,61.54,17.12,14.27,30.36,16.1,30.16,31.18,1.02,21.59,50.88,29.29
M85071,66.73,66.2,-0.53,33.19,38.03,4.84,33.54,28.17,-5.37,61.82,70.47,8.65
M85074,66.7,58.22,-8.48,31.38,32.38,1.0,35.33,25.84,-9.48,51.16,59.26,8.1
M85076,97.87,62.04,-35.84,38.44,27.25,-11.18,59.44,34.78,-24.66,96.78,57.67,-39.11
M85077,53.15,66.9,13.75,10.35,26.21,15.86,42.8,40.69,-2.11,23.32,51.7,28.38
M85078,51.63,70.88,19.24,17.55,38.89,21.34,34.08,31.99,-2.1,44.04,65.93,21.89
M85079,85.19,80.43,-4.75,40.69,31.53,-9.16,44.5,48.9,4.4,75.59,69.05,-6.54
M85081,80.49,68.55,-11.94,30.92,18.69,-12.23,49.56,49.85,0.29,71.79,47.32,-24.46
M85082,66.84,64.06,-2.78,29.35,23.04,-6.32,37.49,41.02,3.54,86.21,87.62,1.41
M85084,59.8,66.5,6.7,21.99,24.77,2.78,37.81,41.73,3.92,50.83,54.19,3.35
M85086,74.38,79.08,4.7,38.12,44.2,6.08,36.26,34.88,-1.38,68.74,79.46,10.72
M85087,67.35,79.77,12.42,24.12,32.74,8.62,43.23,47.03,3.8,45.04,71.62,26.58
M85088,79.45,55.18,-24.27,42.94,26.36,-16.57,36.52,28.82,-7.7,74.56,46.75,-27.81
M85094,93.06,32.7,-60.37,29.76,9.84,-19.92,63.3,22.86,-40.44,95.05,15.96,-79.1
M85097,85.42,81.49,-3.93,56.94,50.15,-6.8,28.47,31.34,2.87,81.48,77.26,-4.21
M85098,80.29,79.35,-0.93,63.58,63.44,-0.14,16.7,15.91,-0.79,79.25,76.45,-2.81
M85105,73.35,31.83,-41.52,38.15,13.5,-24.66,35.2,18.34,-16.86,67.17,22.71,-44.45
M85107,87.33,65.01,-22.32,31.89,27.84,-4.05,55.43,37.17,-18.27,88.31,61.7,-26.61
M85108,46.92,38.0,-8.92,27.09,19.95,-7.14,19.83,18.05,-1.78,84.23,53.12,-31.11
M85110,84.85,95.36,10.51,26.22,53.41,27.2,58.63,41.95,-16.68,92.94,96.64,3.7
M85113,72.92,78.27,5.35,25.28,27.22,1.93,47.64,51.05,3.41,67.07,65.59,-1.48
M85115,59.69,48.84,-10.85,25.78,21.14,-4.64,33.91,27.7,-6.21,40.1,56.03,15.93
M85116,74.13,54.59,-19.54,45.26,33.17,-12.1,28.87,21.43,-7.44,81.09,76.75,-4.34
M85117,58.75,33.43,-25.32,32.58,17.53,-15.05,26.17,15.9,-10.27,57.68,24.11,-33.57
M85118,60.72,62.87,2.15,23.83,23.6,-0.23,36.89,39.27,2.38,46.01,47.62,1.62
M85123,60.26,66.5,6.24,30.33,36.62,6.29,29.93,29.88,-0.05,49.06,60.94,11.88
M85124,46.88,47.29,0.41,18.06,20.17,2.11,28.82,27.12,-1.7,30.93,46.65,15.72
M85128,61.28,66.35,5.07,34.96,36.47,1.51,26.33,29.88,3.55,48.27,53.17,4.9
M85136,66.89,52.58,-14.31,32.94,24.12,-8.81,33.96,28.46,-5.5,59.48,38.31,-21.18
M85139,90.84,57.73,-33.11,39.51,20.81,-18.71,51.33,36.93,-14.4,96.45,40.44,-56.02
M85141,76.08,80.07,3.99,20.46,28.87,8.41,55.63,51.2,-4.43,51.75,60.47,8.72
M85143,63.03,56.3,-6.73,37.76,34.17,-3.59,25.27,22.13,-3.14,58.7,70.59,11.89
M85145,77.52,85.73,8.21,46.73,59.66,12.92,30.78,26.07,-4.71,76.14,84.62,8.48
M85146,73.71,77.85,4.14,38.94,43.71,4.77,34.77,34.14,-0.63,81.92,80.3,-1.61
M85149,98.78,83.76,-15.01,34.2,29.74,-4.46,64.57,54.02,-10.55,100.0,87.96,-12.04
M85153,73.33,69.63,-3.7,21.73,24.28,2.54,51.59,45.35,-6.24,55.48,57.18,1.71
M85154,76.72,53.88,-22.84,51.66,35.5,-16.16,25.06,18.38,-6.68,75.68,78.53,2.85
M85155,83.03,73.5,-9.53,39.41,33.59,-5.82,43.63,39.91,-3.71,79.98,61.51,-18.48
M85156,59.08,71.4,12.32,23.61,25.8,2.19,35.46,45.6,10.13,53.67,59.62,5.95
M85158,75.67,90.48,14.81,48.56,69.54,20.98,27.11,20.94,-6.17,68.03,90.2,22.17
M85164,73.64,75.23,1.59,23.87,20.82,-3.05,49.77,54.41,4.64,60.39,58.25,-2.14
M85167,65.82,63.64,-2.18,27.69,29.89,2.2,38.13,33.75,-4.38,53.69,54.22,0.53
M85170,83.29,77.41,-5.88,31.59,25.96,-5.63,51.7,51.45,-0.25,81.88,69.48,-12.4
M85171,60.77,72.79,12.02,21.26,43.02,21.76,39.51,29.77,-9.74,36.14,64.52,28.38
M85172,71.25,74.66,3.41,38.64,40.17,1.53,32.61,34.49,1.88,75.96,86.76,10.8
M85174,66.05,28.89,-37.15,29.91,16.49,-13.42,36.14,12.4,-23.74,90.64,67.46,-23.18
M85175,62.51,64.9,2.38,26.18,30.62,4.44,36.33,34.27,-2.06,42.66,53.32,10.65
M85176,64.11,62.35,-1.76,33.89,30.89,-3.0,30.22,31.46,1.24,66.2,58.01,-8.19
M85177,71.94,64.04,-7.9,34.9,40.14,5.25,37.04,23.89,-13.15,63.83,57.25,-6.59
M85178,54.58,56.92,2.34,23.26,21.9,-1.36,31.32,35.02,3.7,58.0,49.05,-8.95
M85179,79.86,80.41,0.55,50.16,46.58,-3.58,29.7,33.83,4.13,76.5,79.75,3.26
M85600,75.16,78.33,3.17,40.67,46.34,5.67,34.49,31.99,-2.5,69.16,71.13,1.97
M85624,65.31,72.71,7.4,24.6,25.62,1.02,40.71,47.09,6.38,51.27,52.34,1.06
M85634,71.29,50.47,-20.82,24.83,18.44,-6.4,46.45,32.03,-14.42,55.49,33.56,-21.93
M85642,57.05,44.88,-12.18,32.46,27.59,-4.88,24.59,17.29,-7.3,50.75,43.99,-6.76
M85669,82.6,78.0,-4.61,14.44,33.75,19.31,68.16,44.24,-23.92,87.78,81.45,-6.33
M85670,90.7,59.15,-31.54,44.15,33.51,-10.64,46.54,25.64,-20.9,99.54,46.38,-53.16
M85676,62.85,58.6,-4.25,29.84,24.76,-5.07,33.01,33.84,0.83,50.52,39.38,-11.14
M85679,82.48,76.43,-6.04,49.39,49.67,0.28,33.09,26.77,-6.32,74.82,67.96,-6.86
M85680,51.56,69.05,17.48,13.89,14.51,0.62,37.68,54.54,16.86,25.02,36.83,11.81
M85684,74.06,76.64,2.58,34.01,40.33,6.31,40.04,36.31,-3.73,67.17,70.59,3.42
M85686,50.89,72.99,22.1,28.26,60.97,32.71,22.63,12.02,-10.61,44.28,83.8,39.53
M85693,75.04,76.62,1.58,32.58,30.62,-1.96,42.46,46.0,3.54,63.06,64.2,1.14
M85694,37.37,30.65,-6.72,8.77,8.97,0.19,28.6,21.68,-6.92,21.61,20.86,-0.75
M85697,69.85,53.53,-16.32,24.71,16.66,-8.05,45.14,36.88,-8.27,67.7,61.49,-6.21
M85699,41.25,35.35,-5.9,15.12,9.78,-5.33,26.13,25.56,-0.57,21.35,14.23,-7.11
M85701,65.49,69.88,4.38,41.0,35.85,-5.15,24.49,34.03,9.53,60.64,61.71,1.08
M85706,67.55,45.76,-21.79,42.79,23.48,-19.3,24.76,22.28,-2.49,65.58,54.23,-11.35
M85711,59.3,55.68,-3.62,14.28,22.62,8.35,45.03,33.06,-11.97,34.49,52.27,17.78
M85713,83.12,41.83,-41.29,35.69,23.03,-12.66,47.43,18.79,-28.63,76.82,56.62,-20.2
M85715,57.2,52.86,-4.34,23.94,26.54,2.6,33.26,26.31,-6.94,57.6,59.53,1.94
M85716,63.84,65.54,1.71,24.82,31.3,6.47,39.01,34.25,-4.76,45.06,53.39,8.33
M85717,76.32,78.58,2.26,33.08,40.81,7.74,43.24,37.77,-5.47,72.43,80.39,7.96
M85721,61.43,64.93,3.49,26.86,33.94,7.07,34.57,30.99,-3.58,63.56,66.16,2.59
M85722,4.65,53.0,48.36,3.79,29.02,25.23,0.86,23.99,23.13,6.55,41.59,35.04
M85730,82.68,79.79,-2.89,27.38,45.55,18.16,55.3,34.24,-21.05,71.58,77.26,5.68
M85732,60.79,74.84,14.05,35.53,42.69,7.16,25.26,32.15,6.89,51.15,72.34,21.18
M85733,43.86,49.28,5.41,20.49,20.75,0.25,23.37,28.53,5.16,41.14,38.89,-2.25
M85735,88.33,65.96,-22.37,49.09,38.63,-10.46,39.24,27.34,-11.91,83.37,53.86,-29.51
M85736,57.3,39.27,-18.03,32.44,15.94,-16.5,24.86,23.33,-1.53,68.27,25.87,-42.39
M85739,79.46,86.14,6.68,23.91,26.36,2.45,55.56,59.78,4.23,70.94,75.04,4.1
M85746,57.3,78.24,20.94,26.09,33.76,7.67,31.21,44.48,13.26,52.06,78.05,25.99
M85749,49.83,33.58,-16.25,16.87,10.46,-6.42,32.95,23.12,-9.83,27.47,14.29,-13.18
M85756,56.65,71.5,14.85,11.79,27.45,15.66,44.87,44.05,-0.81,27.31,64.38,37.06
M85757,79.91,75.43,-4.48,37.98,37.93,-0.05,41.92,37.5,-4.42,67.5,65.15,-2.35
M85759,82.43,82.68,0.25,47.02,51.98,4.96,35.41,30.7,-4.71,78.09,87.49,9.4
M85766,73.37,47.02,-26.34,42.09,18.77,-23.31,31.28,28.25,-3.03,64.64,27.42,-37.22
M85770,66.92,68.54,1.62,42.19,38.32,-3.88,24.73,30.23,5.5,61.75,66.51,4.75
M85774,57.42,40.21,-17.21,33.95,22.78,-11.18,23.47,17.44,-6.03,46.23,32.52,-13.71
M85778,53.79,60.6,6.81,30.39,33.59,3.2,23.4,27.0,3.61,57.17,58.43,1.26
M85779,68.37,64.81,-3.56,41.45,34.32,-7.13,26.92,30.49,3.57,66.13,59.7,-6.43
M85781,74.88,68.43,-6.44,24.66,33.15,8.49,50.22,35.28,-14.94,64.72,67.73,3.01
M85783,82.53,66.1,-16.43,46.69,36.15,-10.54,35.84,29.95,-5.89,75.09,73.03,-2.07
M85792,72.22,77.52,5.3,31.31,31.61,0.3,40.91,45.91,5.0,63.14,70.68,7.55
M85794,70.48,38.75,-31.73,40.78,22.53,-18.25,29.7,16.22,-13.48,59.03,87.67,28.64
M85797,43.65,48.19,4.54,22.09,26.68,4.59,21.56,21.52,-0.05,53.95,60.29,6.34
M85803,75.58,68.64,-6.94,28.56,25.03,-3.52,47.02,43.61,-3.42,84.69,63.71,-20.98
M86001,50.76,41.44,-9.31,18.68,21.41,2.73,32.08,20.04,-12.04,33.41,31.53,-1.87
M86002,61.41,59.09,-2.31,15.92,14.66,-1.26,45.49,44.43,-1.06,37.02,42.72,5.7
M86003,62.23,57.45,-4.79,38.73,36.03,-2.71,23.5,21.42,-2.08,60.33,57.05,-3.28
M86004,71.24,69.72,-1.52,30.74,31.01,0.27,40.5,38.71,-1.78,70.21,71.35,1.14
M86005,65.76,53.62,-12.14,28.23,38.19,9.97,37.53,15.42,-22.11,52.24,57.86,5.62
M86006,79.25,67.74,-11.51,41.27,41.53,0.26,37.98,26.21,-11.77,73.51,59.87,-13.64
M86007,66.19,56.5,-9.69,18.29,18.65,0.36,47.9,37.85,-10.05,56.51,63.15,6.64
M86008,72.77,54.7,-18.07,24.79,17.46,-7.34,47.98,37.24,-10.73,52.14,31.3,-20.85
M86009,52.45,51.54,-0.92,30.04,30.24,0.21,22.42,21.29,-1.12,47.6,48.21,0.61
M86010,56.48,46.02,-10.46,27.63,23.78,-3.85,28.86,22.24,-6.61,48.5,39.66,-8.84
M86012,38.42,27.43,-10.98,18.61,12.6,-6.01,19.8,14.83,-4.98,24.94,17.26,-7.68
M86014,66.82,64.08,-2.73,28.56,26.02,-2.55,38.25,38.06,-0.19,55.52,51.72,-3.8
M86015,64.26,49.48,-14.78,28.39,28.83,0.44,35.86,20.65,-15.21,60.29,50.54,-9.75
M86016,95.35,62.63,-32.72,43.11,30.05,-13.06,52.24,32.58,-19.66,94.9,61.22,-33.67
M86017,63.37,37.1,-26.27,29.38,16.68,-12.7,33.99,20.42,-13.57,77.7,30.66,-47.04
M86018,68.82,53.76,-15.06,22.97,19.38,-3.58,45.85,34.38,-11.47,50.64,40.14,-10.5
M86019,57.98,45.63,-12.34,17.65,16.15,-1.49,40.33,29.48,-10.85,36.95,32.7,-4.24
M86020,49.46,62.31,12.86,19.72,30.98,11.26,29.74,31.33,1.59,31.74,48.73,16.99
M86021,50.44,48.73,-1.71,27.19,26.57,-0.62,23.24,22.16,-1.08,43.5,51.36,7.85
M86027,61.04,56.17,-4.87,25.5,29.19,3.69,35.54,26.98,-8.56,51.59,53.46,1.88
M86028,95.86,67.76,-28.1,72.35,34.21,-38.14,23.51,33.55,10.04,100.0,59.52,-40.48
M86029,74.15,69.65,-4.5,45.2,39.72,-5.48,28.95,29.92,0.98,77.25,74.59,-2.66
M86030,64.54,49.56,-14.98,19.25,24.55,5.3,45.3,25.01,-20.29,42.93,40.08,-2.85
M86032,82.15,80.7,-1.44,26.93,35.51,8.58,55.22,45.2,-10.02,73.57,87.29,13.72
M86033,69.7,71.21,1.51,33.85,45.88,12.02,35.84,25.33,-10.51,57.11,66.97,9.86
M86034,66.05,54.11,-11.93,35.92,34.41,-1.5,30.13,19.7,-10.43,57.65,46.71,-10.95
M86035,70.15,70.89,0.74,36.36,34.64,-1.72,33.79,36.25,2.46,74.93,70.97,-3.96
M86037,61.66,50.34,-11.32,16.86,25.15,8.29,44.8,25.18,-19.61,37.25,48.53,11.28
M86038,69.41,46.81,-22.6,22.67,20.43,-2.25,46.74,26.38,-20.36,61.63,41.33,-20.3
M86039,74.37,55.66,-18.71,23.47,15.74,-7.73,50.91,39.93,-10.98,57.19,35.84,-21.35
M86040,96.72,96.66,-0.06,51.63,63.05,11.42,45.09,33.61,-11.48,99.42,97.37,-2.04
M86041,86.76,64.2,-22.56,54.62,34.6,-20.01,32.14,29.6,-2.54,92.63,65.56,-27.07
M86044,58.21,25.88,-32.33,25.33,17.05,-8.28,32.88,8.83,-24.06,45.74,22.31,-23.43
M86045,57.62,46.9,-10.72,33.03,24.8,-8.23,24.59,22.1,-2.49,49.86,42.51,-7.35
M86046,72.71,71.94,-0.76,41.32,45.43,4.11,31.39,26.52,-4.87,71.96,77.92,5.96
M86048,51.75,27.08,-24.67,22.18,15.96,-6.22,29.57,11.12,-18.45,46.41,22.16,-24.24
M86605,99.1,65.64,-33.46,71.55,45.85,-25.7,27.55,19.78,-7.76,99.41,63.84,-35.57
M86610,74.31,72.48,-1.84,37.44,37.95,0.5,36.87,34.53,-2.34,88.39,89.35,0.96
M86612,77.95,81.43,3.48,29.94,30.02,0.08,48.01,51.41,3.4,79.23,83.78,4.55
M86617,73.33,56.2,-17.13,32.04,40.43,8.39,41.28,15.77,-25.51,60.03,52.87,-7.16
M86622,67.91,55.53,-12.39,27.0,14.45,-12.55,40.91,41.07,0.16,51.89,26.35,-25.55
M86624,74.72,53.11,-21.61,39.87,24.33,-15.54,34.85,28.78,-6.06,62.31,34.86,-27.45
M86627,57.83,47.71,-10.12,21.84,20.22,-1.63,35.99,27.5,-8.49,50.64,44.21,-6.43
M86633,63.15,36.81,-26.34,28.81,15.55,-13.26,34.34,21.26,-13.08,57.98,26.37,-31.61
M86638,99.41,67.01,-32.4,66.01,28.98,-37.02,33.4,38.03,4.63,99.12,54.39,-44.73
M87001,80.08,69.16,-10.91,52.98,39.82,-13.16,27.1,29.34,2.25,74.12,61.45,-12.67
M87003,78.47,64.38,-14.1,40.34,29.82,-10.53,38.13,34.56,-3.57,80.51,66.82,-13.69
M87005,63.04,71.25,8.21,25.36,31.49,6.13,37.68,39.76,2.08,53.17,64.76,11.58
M87006,43.57,43.16,-0.42,17.24,17.49,0.26,26.34,25.67,-0.67,29.12,29.82,0.7
M87007,79.35,70.09,-9.26,38.71,31.19,-7.53,40.63,38.9,-1.73,83.03,70.45,-12.58
M87008,60.83,42.42,-18.4,22.03,15.92,-6.11,38.8,26.5,-12.29,42.48,24.67,-17.82
M87009,74.39,66.96,-7.44,28.06,25.62,-2.44,46.33,41.34,-5.0,63.93,57.7,-6.23
M87010,61.4,61.71,0.31,33.85,20.18,-13.66,27.56,41.53,13.97,53.82,42.98,-10.83
M87011,61.83,64.03,2.2,19.46,13.0,-6.46,42.36,51.03,8.66,48.66,43.56,-5.1
M87012,67.27,61.94,-5.33,39.72,33.85,-5.87,27.55,28.09,0.54,63.12,62.55,-0.57
M87013,75.58,70.62,-4.96,37.17,38.53,1.36,38.42,32.09,-6.32,67.72,64.1,-3.62
M87014,67.86,50.95,-16.92,35.88,22.43,-13.45,31.98,28.51,-3.46,58.38,46.35,-12.03
M87015,58.77,62.41,3.64,23.26,29.04,5.78,35.51,33.37,-2.14,56.27,64.8,8.53
M87016,80.27,74.33,-5.94,27.93,25.57,-2.35,52.34,48.75,-3.59,67.46,54.41,-13.05
M87017,95.34,86.96,-8.38,39.35,47.47,8.12,56.0,39.49,-16.5,93.64,92.88,-0.76
M87018,93.07,77.27,-15.8,52.35,38.73,-13.62,40.72,38.55,-2.18,93.22,81.3,-11.92
M87019,60.81,70.57,9.76,39.75,36.26,-3.5,21.06,34.32,13.26,54.95,58.55,3.59
M87020,70.59,62.37,-8.22,19.92,15.51,-4.41,50.67,46.85,-3.81,51.22,37.5,-13.72
M87021,72.55,38.11,-34.44,13.69,13.05,-0.64,58.86,25.06,-33.8,79.53,19.79,-59.74
M87023,66.81,71.16,4.35,37.83,45.11,7.28,28.98,26.05,-2.93,73.75,79.77,6.02
M87024,65.79,61.54,-4.25,24.24,27.42,3.18,41.55,34.13,-7.43,50.94,54.22,3.28
M87025,53.14,50.54,-2.6,11.75,15.99,4.24,41.39,34.55,-6.84,23.68,30.1,6.41
M87026,83.92,72.42,-11.5,38.31,33.05,-5.26,45.61,39.37,-6.24,81.4,74.81,-6.59
M87027,47.54,63.44,15.9,12.65,16.33,3.69,34.89,47.1,12.21,29.34,44.09,14.75
M87028,82.34,84.32,1.98,30.36,45.59,15.23,51.98,38.73,-13.25,86.97,84.92,-2.05
M87030,60.03,54.02,-6.0,21.54,17.0,-4.54,38.48,37.02,-1.46,40.59,35.63,-4.96
M87034,67.5,60.77,-6.73,34.47,27.41,-7.06,33.03,33.35,0.33,58.99,52.21,-6.78
M87036,62.88,59.81,-3.08,32.84,35.44,2.6,30.05,24.36,-5.68,58.12,53.69,-4.43
M87037,59.25,76.02,16.78,24.14,28.47,4.33,35.11,47.55,12.45,45.3,63.76,18.46
M87041,74.67,64.13,-10.54,39.55,32.4,-7.15,35.12,31.73,-3.39,74.34,69.32,-5.02
M87601,32.91,35.07,2.16,14.15,15.31,1.15,18.76,19.76,1.0,22.97,27.47,4.5
M87602,70.54,65.1,-5.44,32.42,32.84,0.42,38.11,32.25,-5.86,64.96,68.34,3.38
M87605,55.06,49.89,-5.16,16.38,16.8,0.41,38.67,33.1,-5.57,33.97,33.24,-0.73
