gp_code,allf2f_early,allf2f_late,d_allf2f,gpf2f_early,gpf2f_late,d_gpf2f,othf2f_early,othf2f_late,d_othf2f,gpf2f_ofgp_early,gpf2f_ofgp_late,d_gpf2f_ofgp
C82610,78.6,81.08,2.48,47.07,51.4,4.33,31.53,29.68,-1.85,74.47,75.77,1.3
C82611,77.18,76.18,-1.0,35.5,36.2,0.7,41.68,39.98,-1.7,71.65,75.68,4.03
C82614,65.47,49.23,-16.24,25.66,16.53,-9.13,39.81,32.7,-7.12,46.86,46.6,-0.25
C82620,59.65,56.59,-3.06,34.63,29.11,-5.52,25.02,27.48,2.46,96.08,89.76,-6.33
C82624,84.82,35.84,-48.98,34.59,16.71,-17.87,50.23,19.13,-31.1,78.68,44.66,-34.02
C82627,77.02,77.15,0.13,33.29,32.99,-0.3,43.73,44.16,0.43,82.47,76.72,-5.75
C82628,66.32,67.72,1.4,19.83,23.93,4.09,46.49,43.79,-2.69,56.58,60.69,4.11
C82631,92.75,86.91,-5.85,38.17,30.56,-7.61,54.58,56.35,1.77,92.46,79.52,-12.95
C82634,66.48,53.24,-13.24,24.59,15.51,-9.07,41.89,37.72,-4.17,78.0,31.08,-46.92
C82639,71.51,77.87,6.36,26.63,25.46,-1.16,44.89,52.41,7.52,57.34,57.35,0.01
C82642,86.48,80.45,-6.03,38.81,43.77,4.96,47.68,36.69,-10.99,87.45,89.94,2.48
C82643,91.36,91.42,0.06,37.42,19.58,-17.84,53.94,71.84,17.9,90.28,85.91,-4.37
C82644,49.81,51.93,2.13,8.68,11.32,2.64,41.12,40.61,-0.51,32.82,46.02,13.19
C82649,63.11,59.81,-3.3,15.7,18.42,2.73,47.41,41.39,-6.02,52.97,62.44,9.47
C82650,73.35,65.83,-7.52,32.68,27.85,-4.83,40.67,37.99,-2.68,71.52,65.51,-6.01
C82651,77.24,72.54,-4.7,44.54,39.14,-5.4,32.69,33.4,0.71,68.0,59.48,-8.52
C82653,63.72,45.63,-18.08,43.61,29.71,-13.91,20.1,15.92,-4.18,96.47,74.18,-22.28
C82656,80.24,80.16,-0.08,28.56,35.11,6.55,51.68,45.05,-6.63,68.06,65.87,-2.19
C82659,84.58,52.78,-31.8,49.66,26.29,-23.36,34.92,26.49,-8.43,83.84,39.66,-44.18
C82660,77.46,66.77,-10.7,21.69,38.06,16.38,55.78,28.7,-27.08,50.68,73.3,22.62
C82662,92.16,88.86,-3.3,30.18,35.27,5.1,61.98,53.58,-8.4,95.9,95.96,0.06
C82667,52.31,58.26,5.95,15.36,21.67,6.31,36.95,36.59,-0.36,47.18,50.02,2.83
C82669,52.39,53.62,1.23,20.45,20.77,0.32,31.94,32.85,0.91,43.56,35.15,-8.41
