gp_code,sat_24,cont_24,n_24,sat_25,cont_25,n_25,sd_24,oc_24,sd_25,oc_25,rural,imd_score,log_list,gp_per10k,nurse_per10k,dpc_per10k,merged_recent,dispensing_f,region,d_sat,d_cont,d_sd,d_oc,w
A88022,63.0975569145787,31.031096053555903,126.0,71.6631258,17.1004362,100.0,34.905023216547065,98.9720119965397,33.765967480674995,145.66379762382257,0.0,25.66,9.3173170808898,11.737175120143169,5.942388187706384,4.408868654351585,0.0,0.0,NORTH EAST AND YORKSHIRE,8.5655688854213,-13.930659853555902,-1.1390557358720699,46.69178562728287,100.0
A88023,75.7398864088358,56.8240561356676,111.0,76.4782095,51.548731999999994,127.0,25.092415267447556,21.315881352964283,32.98969072164948,22.372958877668932,0.0,17.8,8.592269741965472,7.322428026840658,4.749683045239494,1.1874207613098735,0.0,0.0,NORTH EAST AND YORKSHIRE,0.7383230911642045,-5.275324135667603,7.897275454201925,1.057077524704649,111.0
A88025,84.1018963819399,43.2892221223867,117.0,86.2660025,61.1268963,123.0,33.991649856921704,11.402629212507007,31.523577923451047,15.24929772173389,0.0,34.05,8.405982262080235,10.103380832634812,13.769209276334172,4.053273727856944,0.0,0.0,NORTH EAST AND YORKSHIRE,2.1641061180601042,17.8376741776133,-2.4680719334706573,3.846668509226884,117.0
A88601,95.4354713047307,48.9759733101845,104.0,92.4335652,62.9598459,107.0,43.07293325447018,29.200598474150215,49.25389042848007,41.609016594095095,0.0,32.67,8.349267514906016,7.570231641202564,9.462789551503205,14.004928536224742,0.0,0.0,NORTH EAST AND YORKSHIRE,-3.0019061047306934,13.983872589815498,6.18095717400989,12.40841811994488,104.0
A88608,79.20178024734629,52.391499565451305,110.0,78.3099282,42.7231508,108.0,60.16006953246659,10.898729969575456,61.845453844374184,15.500282219911567,0.0,33.83,8.68502133539254,10.372357815793924,4.148582380925539,2.164477763372978,0.0,0.0,NORTH EAST AND YORKSHIRE,-0.8918520473462905,-9.668348765451306,1.6853843119075904,4.601552250336111,108.0
A88613,83.934551054259,47.331714071347506,110.0,80.6138732,40.4819364,105.0,36.66127728375101,47.42176935483974,32.949255657464164,85.2528734087667,0.0,34.65,8.358021594520983,7.785659846397373,5.565652421879579,3.752125227179457,0.0,0.0,NORTH EAST AND YORKSHIRE,-3.320677854259003,-6.849777671347503,-3.712021626286848,37.831104053926964,105.0
A89001,65.2823730722433,9.36843519148267,122.0,73.2535139,31.1224671,123.0,50.226533166458076,0.0,34.71349732871485,0.0,0.0,42.84,9.509530966610832,12.46096433754294,7.82937498455379,10.604359420705336,0.0,0.0,NORTH EAST AND YORKSHIRE,7.971140827756699,21.754031908517334,-15.513035837743224,0.0,122.0
A89002,76.8530976206045,45.9990192211321,118.0,76.4095484,41.7594269,111.0,30.045007807476807,0.0,25.90741816773194,0.0,0.0,47.74,8.856055426856454,6.270709373997933,6.8407738625432,0.0,0.0,0.0,NORTH EAST AND YORKSHIRE,-0.44354922060449553,-4.2395923211321005,-4.137589639744867,0.0,111.0
A89004,69.7458453545279,38.8517833176099,129.0,80.0729684,35.2440577,127.0,53.81874260731558,19.470833693747423,54.54571539245083,161.08283447764182,0.0,36.62,9.378246017035776,15.555978273201868,5.072601610551011,4.1031710810982185,0.0,0.0,NORTH EAST AND YORKSHIRE,10.327123045472092,-3.6077256176099013,0.7269727851352528,141.61200078389442,127.0
A89005,89.49489392281839,70.9639749579796,126.0,92.10881789999999,72.6526135,133.0,30.6831298751268,0.0,29.175417455672232,0.0,0.0,37.33,8.650937061465832,16.092846937275826,6.905199312396116,5.832094014521915,0.0,0.0,NORTH EAST AND YORKSHIRE,2.6139239771815994,1.6886385420203993,-1.5077124194545668,0.0,126.0
A89006,80.1186544915912,39.3730870328324,129.0,78.4710221,27.3999499,113.0,37.25367610283085,2.2078181281214655,37.40236281976176,4.373332112229613,0.0,38.69,9.014021305538376,7.515018761180408,8.599533515059324,5.516681878916946,0.0,0.0,NORTH EAST AND YORKSHIRE,-1.647632391591202,-11.973137132832402,0.14868671693091073,2.165513984108147,113.0
