gp_code,practice_name,CVDP004HYP,CVDP002HYP,CVDP003HYP,CVDP007HYP,CVDP006HYP,CVDP009HYP,CVDP005HYP,CVDP002AF,CVDP005AF,CVDP004AF,CVDP009CHOL,CVDP011CHOL,CVDP012CHOL,CVDP003CHOL,CVDP006CHOL,CVDP008CHOL,CVDP010CHOL,CVDP004CKD,CVDP006CKD,CVDP005CKD,CVDP007CKD,CVDP003CKD,CVDP002CKD,CVDP003DM,CVDP005DM,CVDP002NDH,CVDP002CHD,CVDP002STRK,CVDP002HF,CVDP001SMOK,CVDP002SMOK,CVDP001BMI
F84632,THE GREENHOUSE WALK-IN,92.78,58.76,,58.76,,43.21,2.64,,,,85.71,78.57,39.29,68.89,37.07,37.8,88.89,66.67,100.0,,80.0,,,0.0,0.0,1.17,88.24,80.0,,84.62,90.11,77.06
F84635,Shoreditch Park Surgery,83.9,65.41,73.42,66.16,,30.37,0.77,92.06,92.06,,86.22,76.53,48.47,69.62,50.32,50.18,70.08,51.18,91.34,77.78,71.3,0.55,0.27,,,1.26,83.19,82.19,,71.03,72.77,60.94
F84636,THE SURGERY (BARRETTS GROVE),93.17,80.09,91.3,81.16,,58.82,0.65,100.0,100.0,,89.57,90.43,57.39,75.71,60.43,60.95,78.45,67.24,96.55,76.67,86.67,0.38,,,,,94.2,86.67,,84.0,84.0,74.08
F84640,The Neaman Practice,92.27,75.89,87.43,78.43,,21.18,0.46,91.87,91.06,,90.63,94.44,64.93,66.38,48.32,48.8,73.5,66.24,95.3,75.0,76.59,0.56,0.09,,,0.21,89.47,79.8,,78.3,81.0,62.8
F84641,Birchdale Road Medical Centre,87.03,76.17,75.81,76.13,,36.41,0.68,89.29,85.71,,88.61,85.44,50.63,78.13,69.95,69.41,78.92,62.7,90.27,77.08,79.35,0.42,,,0.49,1.25,95.8,78.0,62.79,79.76,86.9,81.47
F84642,Lucas Avenue Practice,89.16,63.36,75.41,64.11,1.12,41.13,1.07,89.47,89.47,,93.3,92.41,66.07,71.64,57.09,58.86,83.71,61.09,92.76,80.0,73.14,0.3,,0.13,0.32,0.85,84.75,71.88,,79.23,91.46,72.83
F84647,Roserton Street Surgery,90.44,69.64,77.33,70.46,,50.85,0.55,94.59,89.19,90.91,90.21,76.8,51.03,73.57,57.29,58.67,75.43,53.14,80.0,64.71,64.67,0.3,,,0.12,0.73,76.98,66.67,,77.72,89.34,71.19
F84656,Docklands Medical Centre,87.48,73.77,77.46,74.13,,60.03,0.44,90.2,88.24,,94.29,85.14,59.43,76.77,62.8,62.42,79.1,68.16,92.54,84.0,74.3,0.42,0.11,,0.11,1.09,87.39,73.44,73.68,81.62,95.08,74.26
F84658,Sangam Practice,87.55,74.33,77.85,74.7,,35.39,1.74,87.8,87.8,100.0,91.34,88.86,55.45,69.55,58.81,62.21,80.12,47.84,85.01,67.27,76.08,0.84,0.26,0.19,0.37,1.4,89.4,73.73,,80.08,81.2,79.65
F84660,Dr Cm Patel's Surgery,91.34,77.78,,78.34,3.97,70.87,0.9,,,,92.59,96.3,77.78,90.36,76.7,79.71,96.67,90.0,100.0,,96.43,0.33,0.0,0.0,0.0,0.62,83.33,,88.89,92.31,97.44,88.06
F84666,The Ruiz Medical Practice,78.91,59.3,71.88,59.97,,25.9,1.2,96.88,96.88,,81.69,76.06,39.44,67.57,60.0,58.23,68.15,49.68,82.8,84.62,73.58,0.97,0.25,,,0.54,75.95,63.64,,75.0,78.42,60.12
F84668,The Clapton Surgery,86.01,72.52,86.67,73.72,,49.89,1.0,92.86,85.71,,86.17,82.98,44.68,69.47,57.42,58.45,75.45,55.45,89.09,75.68,75.53,0.75,0.41,,,2.44,85.0,81.82,,75.58,74.42,72.02
F84669,Central Park Surgery,85.5,62.77,68.37,63.26,,35.2,1.57,94.87,92.31,,94.12,81.57,54.51,75.15,62.9,64.61,78.33,60.37,85.45,73.08,63.95,0.68,,,0.2,0.84,75.53,69.62,71.7,71.37,77.59,73.21
F84670,Westbury Road Medical Practice,86.73,72.71,70.18,72.43,,55.65,0.87,78.57,71.43,,91.85,88.04,65.22,78.8,70.07,71.55,83.43,68.0,89.14,53.33,81.17,0.58,0.17,0.0,,0.91,81.75,79.25,,80.41,80.41,77.25
F84672,FIRST 4 HEALTH GROUP - E7 HEALTH,88.2,65.32,88.57,68.04,,30.87,1.17,98.41,95.24,,85.92,86.38,47.42,69.4,56.08,56.62,64.77,39.02,86.74,67.74,72.0,0.75,0.27,,,,89.29,76.32,86.79,75.0,77.61,72.14
F84677,East End Medical Centre,84.79,64.9,83.33,67.16,,30.92,1.2,91.11,86.67,,90.04,86.06,53.78,76.95,65.33,64.42,78.19,45.04,88.95,71.93,73.39,0.76,,,0.55,1.25,78.21,79.55,76.74,79.19,90.0,75.13
F84681,Balaam Street Practice,82.77,56.89,76.19,58.72,,29.37,2.28,97.62,95.24,,86.06,81.82,52.73,76.47,62.43,62.4,77.54,56.16,86.59,78.95,62.26,0.74,0.16,,0.19,0.9,69.83,71.15,80.39,70.95,63.03,59.68
F84686,The Surgery (Cranwich Road),88.86,76.49,80.49,76.92,,63.13,0.64,89.47,89.47,,86.6,73.2,51.55,60.22,42.0,42.26,64.29,70.0,81.43,66.67,69.64,0.57,,,0.2,1.76,76.06,82.14,,78.38,75.68,74.56
F84692,The Hoxton Surgery,91.01,71.0,86.15,72.56,,25.26,0.36,94.44,94.44,,87.79,84.3,48.84,73.23,51.22,52.22,72.73,44.16,87.01,86.67,75.41,0.45,0.16,,,1.34,85.09,80.0,,84.56,82.99,59.52
F84694,The Surgery (Brooke Road),98.07,87.9,93.33,88.42,,69.78,0.91,80.0,80.0,,96.3,93.83,60.49,80.74,62.33,63.21,81.97,68.85,85.25,66.67,88.24,0.5,0.31,,0.0,1.46,93.44,100.0,,93.41,95.6,79.37
F84696,TREDEGAR PRACTICE,95.2,75.92,84.38,76.8,,48.08,0.66,84.21,84.21,,95.0,87.86,59.29,79.36,67.99,69.46,77.65,77.09,96.09,76.92,88.05,0.28,,,,0.54,87.5,81.82,,88.81,86.52,85.45
