gp_code,sat_24,cont_24,sat_25,cont_25,sat_26,cont_26,d_sat_25_26,d_cont_25_26,n_25,n_26,deflection_2026,access_satisfaction_2026,pt_same_day_2026,imd_score,rural,region
E86006,82.3542319464709,32.1457697485325,76.8195933,26.4785488,86.1745391747358,37.7027998732988,9.354945874735805,11.224251073298802,92.0,119.0,3.5569911747939402,74.8543215201563,54.2604371099601,9.43,0.0,LONDON
E86010,70.5083363631761,30.7263040472402,67.8303875,31.6663094,68.4112621421677,38.9613529123023,0.5808746421677,7.295043512302303,83.0,100.0,10.6337836156553,74.3722588683552,39.1194213762343,28.65,0.0,LONDON
E86011,96.6813665566023,45.3517445934596,89.1412686,65.67587,93.8444772967248,68.8465990702736,4.703208696724801,3.1707290702735946,103.0,116.0,1.6812274545029,93.1153398438877,42.5576011196255,9.47,0.0,LONDON
E86016,82.31605225369721,46.4804681171221,83.9831653,40.635996,85.4083220237941,56.8517243773098,1.4251567237941032,16.2157283773098,98.0,80.0,2.16544257318027,89.97497227774531,59.2860014189715,25.21,0.0,LONDON
E86017,63.3507047854318,20.7258855884136,71.4752157,31.267782,69.77412510934859,40.1760768699234,-1.7010905906514182,8.908294869923399,120.0,78.0,10.2776923407549,59.318029779903405,56.3997425386931,27.73,0.0,LONDON
F83010,63.26395489762759,26.6105759400936,76.5253415,37.967286900000005,84.5563042827605,56.7493213036252,8.030962782760497,18.782034403625197,129.0,101.0,4.69676896040773,80.7072323596511,41.622873853019996,23.75,0.0,LONDON
F83012,76.20349034763,13.9316413020065,79.435044,35.1161087,79.2066227118201,36.6890256530829,-0.22842128817990215,1.5729169530829026,99.0,100.0,1.5379031172388,77.4117923501455,58.921973122008,25.54,0.0,LONDON
F83015,76.7623370625725,42.7541615816679,76.25692819999999,53.5394732,82.18522179139521,57.961905836856594,5.928293591395217,4.422432636856591,106.0,131.0,1.8602648791899101,83.3244654342969,50.084555490525,27.27,0.0,LONDON
F83017,94.24320869593859,71.2121869819599,85.014819,48.4120689,84.9292138030054,63.7261604680918,-0.08560519699460656,15.314091568091797,115.0,112.0,0.525050898647051,84.7940991855883,58.738307430621596,18.19,0.0,LONDON
F83019,78.6649536001461,49.9524591470959,93.9474124,57.3577299,82.4650872110944,43.1443248413097,-11.482325188905605,-14.213405058690306,116.0,94.0,3.2992671325387697,83.826264657222,51.9068704116194,26.11,0.0,LONDON
F83021,70.3067458464417,45.0897754646778,82.0371214,42.4063698,70.0955482322207,44.9856276019007,-11.94157316777931,2.5792578019007024,96.0,101.0,6.07948984217402,80.8821643864446,58.6094809224239,24.35,0.0,LONDON
F83033,82.2076719559174,39.8733977851558,82.9432664,61.6744392,85.2731341943331,33.1420526653128,2.329867794333097,-28.532386534687205,79.0,102.0,1.5877914367956099,85.0066812100444,27.4606865490087,27.73,0.0,LONDON
