gp_code,year,list_size
B86030,2013,9857
B86031,2013,2888
B86032,2013,11591
B86033,2013,11017
B86034,2013,6619
B86035,2013,7537
B86036,2013,11414
B86037,2013,1923
B86038,2013,11517
B86039,2013,6042
B86041,2013,6122
B86042,2013,13625
B86043,2013,7877
B86044,2013,23722
B86046,2013,7299
B86047,2013,7642
B86048,2013,13061
B86049,2013,7693
B86050,2013,17423
B86051,2013,6423
B86052,2013,10461
B86054,2013,5939
B86055,2013,6131
B86056,2013,5971
B86057,2013,16122
B86058,2013,4476
B86059,2013,13013
B86060,2013,8992
B86061,2013,3415
B86062,2013,9108
B86064,2013,16034
B86065,2013,4168
B86066,2013,12321
B86067,2013,16545
B86068,2013,5206
B86069,2013,12953
B86070,2013,4151
B86071,2013,8787
B86074,2013,5022
B86075,2013,11653
B86077,2013,6312
B86081,2013,12173
B86086,2013,7006
B86089,2013,5415
B86090,2013,1869
B86092,2013,4448
B86093,2013,5245
B86094,2013,4319
B86095,2013,2924
B86096,2013,5859
B86100,2013,5674
B86101,2013,3314
B86102,2013,2130
B86103,2013,1892
B86104,2013,4741
B86106,2013,6353
B86107,2013,5884
B86108,2013,5138
B86109,2013,8003
B86110,2013,35149
B86623,2013,2938
B86625,2013,3684
B86633,2013,2070
B86638,2013,1632
B86642,2013,1466
B86643,2013,3290
B86648,2013,2401
B86651,2013,1959
B86653,2013,553
B86654,2013,4407
B86655,2013,1812
B86658,2013,4188
B86666,2013,4093
B86667,2013,4563
B86669,2013,1112
B86670,2013,2012
B86672,2013,4722
B86673,2013,3761
B86675,2013,3477
B86678,2013,2731
B86682,2013,4568
B87001,2013,7496
B87002,2013,11997
B87003,2013,8948
B87004,2013,8668
B87005,2013,10738
B87006,2013,9140
B87007,2013,11281
B87008,2013,13110
B87009,2013,6420
B87011,2013,13192
B87012,2013,9671
B87013,2013,13100
B87015,2013,8450
B87016,2013,21452
B87017,2013,12632
B87018,2013,10013
B87019,2013,7623
B87020,2013,11720
B87021,2013,12993
B87022,2013,5934
B87023,2013,14345
B87025,2013,5414
B87026,2013,14738
B87027,2013,11632
B87028,2013,10089
B87029,2013,9333
B87030,2013,10046
B87031,2013,11557
B87032,2013,6467
B87033,2013,3738
B87036,2013,3861
B87039,2013,12470
B87040,2013,7750
B87041,2013,2765
B87042,2013,5275
B87044,2013,2849
B87600,2013,2438
B87602,2013,2354
B87604,2013,2833
C81001,2013,9207
C81002,2013,8340
C81003,2013,10848
C81004,2013,10881
C81005,2013,13654
C81006,2013,13498
C81007,2013,10053
C81008,2013,9236
C81009,2013,14403
C81010,2013,13753
C81011,2013,5438
C81012,2013,15745
C81013,2013,4410
C81014,2013,11634
C81015,2013,11290
C81016,2013,6107
C81017,2013,8161
C81018,2013,8431
C81019,2013,7881
C81020,2013,10519
C81021,2013,14294
C81022,2013,3845
C81023,2013,9452
C81024,2013,25882
C81025,2013,9585
C81026,2013,7287
C81027,2013,7128
C81028,2013,8030
C81029,2013,15820
C81030,2013,7448
C81031,2013,8621
C81032,2013,13590
C81033,2013,15162
C81034,2013,9247
C81035,2013,10979
C81036,2013,5229
C81037,2013,7775
C81038,2013,12353
C81039,2013,3547
C81040,2013,5891
C81041,2013,10757
C81042,2013,11965
C81044,2013,7601
C81045,2013,10264
C81046,2013,4854
C81047,2013,10591
C81048,2013,11005
C81049,2013,9251
C81050,2013,9351
C81051,2013,24907
C81052,2013,7392
C81053,2013,9462
C81054,2013,16336
C81055,2013,3962
C81056,2013,5608
