month,level,org_code,org_name,region_code,region_name,metric,value
2020-12,England,ENG,England,,,prescription_orders,239020.0
2021-01,England,ENG,England,,,prescription_orders,324667.0
2021-02,England,ENG,England,,,prescription_orders,314844.0
2021-03,England,ENG,England,,,prescription_orders,386415.0
2021-04,England,ENG,England,,,prescription_orders,393009.0
2021-05,England,ENG,England,,,prescription_orders,537321.0
2021-06,England,ENG,England,,,prescription_orders,711345.0
2021-07,England,ENG,England,,,prescription_orders,901153.0
2021-08,England,ENG,England,,,prescription_orders,1010236.0
2021-09,England,ENG,England,,,prescription_orders,1099413.0
2021-10,England,ENG,England,,,prescription_orders,1171979.0
2021-11,England,ENG,England,,,prescription_orders,1315893.0
2021-12,England,ENG,England,,,prescription_orders,1486647.0
2022-01,England,ENG,England,,,prescription_orders,1616444.0
2022-02,England,ENG,England,,,prescription_orders,1510520.0
2022-03,England,ENG,England,,,prescription_orders,1714728.0
2022-04,England,ENG,England,,,prescription_orders,1734089.0
2022-05,England,ENG,England,,,prescription_orders,1901795.0
2022-06,England,ENG,England,,,prescription_orders,1839981.0
2022-07,England,ENG,England,,,prescription_orders,1934839.0
2022-08,England,ENG,England,,,prescription_orders,2036510.0
2022-09,England,ENG,England,,,prescription_orders,1977382.0
2022-10,England,ENG,England,,,prescription_orders,2129748.0
2022-11,England,ENG,England,,,prescription_orders,2164521.0
2022-12,England,ENG,England,,,prescription_orders,2225095.0
2023-01,England,ENG,England,,,prescription_orders,2399270.0
2023-02,England,ENG,England,,,prescription_orders,2191670.0
2023-03,England,ENG,England,,,prescription_orders,2544787.0
2023-04,England,ENG,England,,,prescription_orders,2449182.0
2023-05,England,ENG,England,,,prescription_orders,2709129.0
2023-06,England,ENG,England,,,prescription_orders,2650714.0
2023-07,England,ENG,England,,,prescription_orders,2825324.0
2023-08,England,ENG,England,,,prescription_orders,2885337.0
2023-09,England,ENG,England,,,prescription_orders,2819310.0
2023-10,England,ENG,England,,,prescription_orders,3105964.0
2023-11,England,ENG,England,,,prescription_orders,3091579.0
2023-12,England,ENG,England,,,prescription_orders,3124667.0
2024-01,England,ENG,England,,,prescription_orders,3559170.0
2024-02,England,ENG,England,,,prescription_orders,3349017.0
2024-03,England,ENG,England,,,prescription_orders,3669727.0
2024-04,England,ENG,England,,,prescription_orders,3914390.0
2024-05,England,ENG,England,,,prescription_orders,4080631.0
2024-06,England,ENG,England,,,prescription_orders,4023654.0
2024-07,England,ENG,England,,,prescription_orders,4435732.0
2024-08,England,ENG,England,,,prescription_orders,4401315.0
2024-09,England,ENG,England,,,prescription_orders,4490770.0
2024-10,England,ENG,England,,,prescription_orders,4782894.0
2024-11,England,ENG,England,,,prescription_orders,4711466.0
2024-12,England,ENG,England,,,prescription_orders,4922347.0
2025-01,England,ENG,England,,,prescription_orders,5244169.0
2025-02,England,ENG,England,,,prescription_orders,4782095.0
2025-03,England,ENG,England,,,prescription_orders,5462679.0
2025-04,England,ENG,England,,,prescription_orders,5474553.0
2025-05,England,ENG,England,,,prescription_orders,5602959.0
2025-06,England,ENG,England,,,prescription_orders,5645876.0
2025-07,England,ENG,England,,,prescription_orders,6023079.0
2025-08,England,ENG,England,,,prescription_orders,5982565.0
2025-09,England,ENG,England,,,prescription_orders,6105704.0
2025-10,England,ENG,England,,,prescription_orders,6351167.0
2025-11,England,ENG,England,,,prescription_orders,6292014.0
2025-12,England,ENG,England,,,prescription_orders,6588269.0
2026-01,England,ENG,England,,,prescription_orders,6829625.0
2026-02,England,ENG,England,,,prescription_orders,6327948.0
2026-03,England,ENG,England,,,prescription_orders,7421777.0
2026-04,England,ENG,England,,,prescription_orders,7023884.0
2025-09,England,ENG,England,,,ready_to_collect_notifications_sent,108.0
2025-10,England,ENG,England,,,ready_to_collect_notifications_sent,177956.0
2025-11,England,ENG,England,,,ready_to_collect_notifications_sent,232112.0
2025-12,England,ENG,England,,,ready_to_collect_notifications_sent,256843.0
2026-01,England,ENG,England,,,ready_to_collect_notifications_sent,288483.0
2026-02,England,ENG,England,,,ready_to_collect_notifications_sent,281505.0
2026-03,England,ENG,England,,,ready_to_collect_notifications_sent,396862.0
2026-04,England,ENG,England,,,ready_to_collect_notifications_sent,782508.0
2020-12,England,ENG,England,,,unique_user_logins,702206.0
2021-01,England,ENG,England,,,unique_user_logins,889164.0
2021-02,England,ENG,England,,,unique_user_logins,941506.0
2021-03,England,ENG,England,,,unique_user_logins,1192847.0
2021-04,England,ENG,England,,,unique_user_logins,1521406.0
2021-05,England,ENG,England,,,unique_user_logins,4069629.0
2021-06,England,ENG,England,,,unique_user_logins,5809278.0
2021-07,England,ENG,England,,,unique_user_logins,8901399.0
2021-08,England,ENG,England,,,unique_user_logins,9248507.0
2021-09,England,ENG,England,,,unique_user_logins,9896649.0
2021-10,England,ENG,England,,,unique_user_logins,10312420.0
2021-11,England,ENG,England,,,unique_user_logins,11793927.0
2021-12,England,ENG,England,,,unique_user_logins,16610432.0
2022-01,England,ENG,England,,,unique_user_logins,13187918.0
2022-02,England,ENG,England,,,unique_user_logins,10332559.0
2022-03,England,ENG,England,,,unique_user_logins,9877323.0
2022-04,England,ENG,England,,,unique_user_logins,9548551.0
2022-05,England,ENG,England,,,unique_user_logins,9585347.0
2022-06,England,ENG,England,,,unique_user_logins,8739815.0
2022-07,England,ENG,England,,,unique_user_logins,8411086.0
2022-08,England,ENG,England,,,unique_user_logins,7430167.0
2022-09,England,ENG,England,,,unique_user_logins,7536110.0
2022-10,England,ENG,England,,,unique_user_logins,7795626.0
2022-11,England,ENG,England,,,unique_user_logins,6349130.0
2022-12,England,ENG,England,,,unique_user_logins,5701081.0
2023-01,England,ENG,England,,,unique_user_logins,6090851.0
2023-02,England,ENG,England,,,unique_user_logins,5683030.0
2023-03,England,ENG,England,,,unique_user_logins,6136135.0
2023-04,England,ENG,England,,,unique_user_logins,6137161.0
2023-05,England,ENG,England,,,unique_user_logins,6136593.0
2023-06,England,ENG,England,,,unique_user_logins,5768438.0
2023-07,England,ENG,England,,,unique_user_logins,5806493.0
2023-08,England,ENG,England,,,unique_user_logins,6012745.0
2023-09,England,ENG,England,,,unique_user_logins,6937178.0
2023-10,England,ENG,England,,,unique_user_logins,7843134.0
2023-11,England,ENG,England,,,unique_user_logins,7289280.0
2023-12,England,ENG,England,,,unique_user_logins,6758646.0
2024-01,England,ENG,England,,,unique_user_logins,7601694.0
2024-02,England,ENG,England,,,unique_user_logins,7641540.0
2024-03,England,ENG,England,,,unique_user_logins,8026171.0
2024-04,England,ENG,England,,,unique_user_logins,8414883.0
2024-05,England,ENG,England,,,unique_user_logins,8520114.0
2024-06,England,ENG,England,,,unique_user_logins,8416926.0
2024-07,England,ENG,England,,,unique_user_logins,9039876.0
2024-08,England,ENG,England,,,unique_user_logins,9116582.0
2024-09,England,ENG,England,,,unique_user_logins,10092607.0
2024-10,England,ENG,England,,,unique_user_logins,11193638.0
2024-11,England,ENG,England,,,unique_user_logins,10615569.0
2024-12,England,ENG,England,,,unique_user_logins,10001341.0
2025-01,England,ENG,England,,,unique_user_logins,11154383.0
2025-02,England,ENG,England,,,unique_user_logins,10774168.0
2025-03,England,ENG,England,,,unique_user_logins,11377861.0
2025-04,England,ENG,England,,,unique_user_logins,11314394.0
2025-05,England,ENG,England,,,unique_user_logins,11471297.0
2025-06,England,ENG,England,,,unique_user_logins,11835096.0
2025-07,England,ENG,England,,,unique_user_logins,12196687.0
2025-08,England,ENG,England,,,unique_user_logins,12249763.0
2025-09,England,ENG,England,,,unique_user_logins,13412622.0
2025-10,England,ENG,England,,,unique_user_logins,14287686.0
2025-11,England,ENG,England,,,unique_user_logins,13574536.0
2025-12,England,ENG,England,,,unique_user_logins,13158746.0
2026-01,England,ENG,England,,,unique_user_logins,14053506.0
2026-02,England,ENG,England,,,unique_user_logins,13882973.0
2026-03,England,ENG,England,,,unique_user_logins,15013793.0
