gp_code,oc_wd_total,oc_rush,oc_rush_pct,same_day_12m,rural,imd_score,log_list,gp_per10k,nurse_per10k,dpc_per10k,merged_recent,dispensing_f,region,rush_pct,calls_per_1k,total_wd,oq
B82067,301,97,32.22591362126246,27.488151658767773,0.0,10.14,9.021225794774626,14.788115543429017,2.93184861431894,1.6431239491356486,0.0,0.0,NORTH EAST AND YORKSHIRE,27.6,574.6,5017,Q2
B82069,280,85,30.357142857142858,41.050723048354314,0.0,10.02,8.9242570208881,11.724529641906283,7.880724174653887,12.744053958998936,0.0,1.0,NORTH EAST AND YORKSHIRE,28.5,658.2,5050,Q2
B82075,265,51,19.245283018867923,41.667625954491385,0.0,14.97,9.173736897530398,21.962820369790897,10.98135486199832,11.783519323692376,0.0,1.0,NORTH EAST AND YORKSHIRE,22.8,680.4,6460,Q1
B82077,129,23,17.829457364341085,26.86495760335214,1.0,17.03,8.717859341413513,20.68373038059264,9.338224263564836,1.9636452892967693,0.0,0.0,NORTH EAST AND YORKSHIRE,24.7,659.0,4085,Q1
B82080,5292,1605,30.328798185941043,58.65577266583807,1.0,8.05,9.844825066970712,15.68003676254606,8.016754592932319,9.40943594602476,0.0,1.0,NORTH EAST AND YORKSHIRE,23.6,343.1,6434,Q2
B82083,9685,2378,24.55343314403717,43.39345162098631,0.0,13.65,10.709105535645918,15.983467966541246,7.071540141527612,6.398343817894436,0.0,0.0,NORTH EAST AND YORKSHIRE,22.3,256.8,11370,Q1
B82086,113,21,18.58407079646018,25.797050561797754,1.0,24.7,8.53050420547591,18.52509703374778,5.789092824156305,10.420367081113085,1.0,1.0,NORTH EAST AND YORKSHIRE,26.3,780.6,3993,Q1
B82088,3560,1706,47.92134831460674,23.2128295732536,0.0,33.73,9.26526249087522,8.278730034154998,10.601459278248866,12.343127588246892,0.0,0.0,NORTH EAST AND YORKSHIRE,21.8,598.9,6357,Q4
B82098,1164,630,54.123711340206185,40.767421756629886,0.0,12.73,10.16290517221456,15.244855054680118,2.499662468416688,7.488700728296719,0.0,0.0,NORTH EAST AND YORKSHIRE,33.0,514.9,14026,Q4
B82100,2576,1017,39.47981366459627,43.15927195641013,0.0,15.05,9.025595882249474,18.54086890234367,4.74748892239219,2.8228312508270013,0.0,0.0,NORTH EAST AND YORKSHIRE,23.2,530.0,4608,Q3
B83010,2863,1077,37.61788333915473,41.750732547475785,0.0,45.39,9.21761385594268,11.423806214633176,8.842119195870149,3.4415433991859428,0.0,0.0,NORTH EAST AND YORKSHIRE,26.0,616.1,6228,Q3
B83012,2921,1913,65.491270112975,47.84872667385171,0.0,44.13,9.307179685090327,10.935507783845932,2.4447436504742743,8.399267787779308,0.0,0.0,NORTH EAST AND YORKSHIRE,27.7,623.1,6981,Q4
B83014,785,285,36.30573248407644,27.144109288262843,0.0,13.76,9.513914248138375,25.57551226638288,1.5747740880766228,4.114097304306638,0.0,0.0,NORTH EAST AND YORKSHIRE,22.9,680.1,9395,Q3
B83015,442,155,35.067873303167424,46.94630677975926,0.0,52.16,9.07213138980055,6.521863936465411,4.133575734379486,1.5309539764615827,0.0,0.0,NORTH EAST AND YORKSHIRE,38.7,751.9,6676,Q3
B83019,279,77,27.59856630824373,26.918031399432948,1.0,6.39,8.85235504605234,27.071641437596853,1.9835498858028373,6.484682323042079,0.0,0.0,NORTH EAST AND YORKSHIRE,26.7,638.3,4620,Q2
B83029,604,255,42.21854304635762,40.47058419125862,0.0,28.57,9.223347083441588,7.08063600661342,9.186401361508914,7.475467011705095,0.0,0.0,NORTH EAST AND YORKSHIRE,39.5,962.6,9840,Q4
B83032,333,76,22.822822822822825,68.27842720510095,0.0,55.76,8.344742754417545,4.752851711026616,3.2953105180608366,1.2674271245247148,0.0,0.0,NORTH EAST AND YORKSHIRE,27.8,632.2,2819,Q1
B83034,112,55,49.10714285714285,63.712425543704114,0.0,50.06,8.865146882209586,5.310109450394257,0.3766035061786513,4.971166293986113,0.0,0.0,NORTH EAST AND YORKSHIRE,25.5,1057.3,7324,Q4
B83035,4150,1613,38.86746987951807,41.53930813677181,0.0,55.66,9.396577862594413,14.156012865631377,8.4335765918445,3.298170373741915,1.0,0.0,NORTH EAST AND YORKSHIRE,24.8,599.1,9491,Q3
B83037,205,94,45.85365853658536,36.928961645158545,1.0,14.44,9.21786201337503,16.674110465981837,5.174267613517939,8.906092336856732,0.0,0.0,NORTH EAST AND YORKSHIRE,32.9,758.6,7619,Q4
B83051,1229,267,21.724979658258743,58.1943301668038,0.0,53.71,9.324115386235029,3.1776290352521195,2.665476721106649,0.9519559714413208,0.0,0.0,NORTH EAST AND YORKSHIRE,19.8,286.6,2747,Q1
B83055,8044,4798,59.646941819990055,45.2749108294756,0.0,45.14,10.381490352934616,13.772721165328456,7.638652075518492,7.14263570697833,1.0,0.0,NORTH EAST AND YORKSHIRE,32.3,826.3,26183,Q4
B83062,588,293,49.82993197278912,29.834037670370268,0.0,42.69,9.092644832491898,31.13727548951967,6.62941992538153,2.7597585218793355,0.0,0.0,NORTH EAST AND YORKSHIRE,48.3,831.6,7636,Q4
B83614,1387,317,22.855082912761358,47.87354158825743,0.0,51.85,9.189006072268477,4.631087880681383,9.01700051861374,5.943047835732589,0.0,0.0,NORTH EAST AND YORKSHIRE,20.4,806.2,7855,Q1
B83624,5621,2305,41.00693826721224,33.673006430983946,0.0,8.71,9.75173884676921,22.588965561929893,4.5313250145241,10.598955429103484,0.0,0.0,NORTH EAST AND YORKSHIRE,22.2,468.3,7948,Q3
B83628,189,81,42.85714285714285,56.637692946339314,0.0,54.66,9.204624064980074,1.808709644976365,6.999899426732375,5.363907607361963,0.0,0.0,NORTH EAST AND YORKSHIRE,35.2,793.0,7840,Q4
B83653,265,32,12.075471698113208,71.91676892425022,0.0,55.49,8.952767112294719,12.541104678979202,4.260870502312644,4.105616111524404,0.0,0.0,NORTH EAST AND YORKSHIRE,53.7,1427.8,11295,Q1
B84008,3081,921,29.89289191820837,49.418502357660635,0.0,11.62,9.67897848599689,13.518447047533614,6.241850858776038,1.8859068107521728,0.0,0.0,NORTH EAST AND YORKSHIRE,22.7,479.2,7879,Q2
B84011,585,241,41.1965811965812,36.56651829871414,0.0,19.75,9.318073071779065,13.583419378675645,5.674523007856341,10.55892255892256,0.0,0.0,NORTH EAST AND YORKSHIRE,25.7,779.1,8558,Q3
B84012,3844,1394,36.26430801248699,50.094319849088244,0.0,37.87,10.271022891641705,17.313371860785168,2.686662762080894,2.6774302442289546,1.0,0.0,NORTH EAST AND YORKSHIRE,34.0,544.2,15540,Q3
B84021,438,175,39.954337899543376,44.38150805987947,0.0,32.99,9.08546663158566,11.03577464447235,3.9579655007411736,2.5077185999830047,0.0,0.0,NORTH EAST AND YORKSHIRE,28.7,840.6,7290,Q3
B84613,424,144,33.9622641509434,41.057676773116484,0.0,42.08,9.211556299103748,8.469695205167048,6.106170825495648,2.503620594276964,0.0,0.0,NORTH EAST AND YORKSHIRE,31.7,891.0,9555,Q3
B85005,428,151,35.2803738317757,51.75945154040907,1.0,8.25,8.82088393851307,11.0614951234454,7.006925734952208,3.93647513156438,0.0,0.0,NORTH EAST AND YORKSHIRE,32.2,592.0,3970,Q3
B85006,388,85,21.90721649484536,26.01853738032186,0.0,11.56,9.637914813079854,17.745511457418598,5.825327131678477,12.485328000912924,0.0,0.0,NORTH EAST AND YORKSHIRE,32.9,553.5,8498,Q1
B85016,116,37,31.89655172413793,38.74808826742408,0.0,37.24,9.25486749402626,12.344576930753044,5.815213925907033,0.0,0.0,0.0,NORTH EAST AND YORKSHIRE,26.1,670.9,7177,Q2
B85022,378,47,12.433862433862434,42.01430274135876,0.0,12.6,8.969393443532677,10.97703221470532,7.675439526647297,9.568850338260557,0.0,0.0,NORTH EAST AND YORKSHIRE,26.6,641.7,5112,Q1
B85030,533,210,39.39962476547842,42.86818953933524,0.0,22.46,9.145881847638782,9.340408323600778,7.53717480308242,7.650943479721623,0.0,0.0,NORTH EAST AND YORKSHIRE,36.0,4045.5,38246,Q3
B85031,149,56,37.58389261744966,28.152081044794336,0.0,13.13,8.839481983520976,10.50991946049724,3.941219797867588,1.4682975727205765,0.0,0.0,NORTH EAST AND YORKSHIRE,30.5,734.5,5103,Q3
B85036,166,57,34.33734939759036,37.40007088567715,0.0,24.81,9.0243119532509,9.69988959229148,7.901234567901234,2.441031816922614,0.0,0.0,NORTH EAST AND YORKSHIRE,40.1,876.3,7529,Q3
B85042,596,197,33.053691275167786,50.2866715020896,0.0,30.3,9.102820118355012,25.49322148598365,4.424359962511715,1.187747640001113,0.0,0.0,NORTH EAST AND YORKSHIRE,26.9,678.9,6109,Q2
B85054,770,316,41.03896103896104,49.14425762637603,0.0,19.6,9.207126880906682,17.44262843322326,3.210299711574636,7.597709318062116,0.0,0.0,NORTH EAST AND YORKSHIRE,29.1,587.0,6063,Q3
B85055,396,144,36.36363636363637,60.70379158089911,0.0,38.9,9.437230230443744,5.355897531265982,6.121025750018265,12.603362048312002,0.0,0.0,NORTH EAST AND YORKSHIRE,27.7,915.6,11872,Q3
B85059,608,227,37.33552631578947,55.66987118772495,0.0,17.6,9.001140816373981,5.350207502157208,0.0,3.418662942022435,0.0,0.0,NORTH EAST AND YORKSHIRE,24.8,654.0,5594,Q3
B85061,371,111,29.91913746630728,32.08367241251757,1.0,11.69,9.160326959944056,8.522418657158376,3.588386803567361,6.3357454491616005,0.0,0.0,NORTH EAST AND YORKSHIRE,28.9,478.3,4614,Q2
B85612,196,27,13.775510204081632,40.208415714917074,0.0,28.05,8.384404380152773,7.1870420053674415,3.0453567841032374,3.776242411922572,0.0,0.0,NORTH EAST AND YORKSHIRE,27.2,793.0,3811,Q1
B85623,737,344,46.675712347354136,44.52075937644698,0.0,27.14,8.142669424547622,4.537411833143467,3.1025038155949294,2.326877863150496,0.0,0.0,NORTH EAST AND YORKSHIRE,26.2,660.4,2262,Q4
B85634,185,72,38.91891891891892,46.72034773933801,0.0,34.46,8.209625821584533,5.077753092442308,2.6839552051502924,10.808360159586526,0.0,0.0,NORTH EAST AND YORKSHIRE,27.8,723.8,2613,Q3
B85640,101,16,15.84158415841584,26.630987950224906,0.0,24.46,8.154811518841964,14.278585283877304,3.67807284308326,0.0,0.0,0.0,NORTH EAST AND YORKSHIRE,28.7,827.3,2994,Q1
B86004,867,240,27.68166089965398,24.741547918412966,0.0,17.21,9.038849946135883,12.746945761457726,5.6979493317769485,3.292148503595841,0.0,0.0,NORTH EAST AND YORKSHIRE,25.6,510.9,4377,Q2
B86006,2312,1153,49.87024221453287,54.14311806464953,0.0,16.78,9.631574930580015,12.134244043508458,8.627318017073076,4.059914360743953,0.0,0.0,NORTH EAST AND YORKSHIRE,22.7,477.0,7227,Q4
B86013,6321,2751,43.52159468438538,29.79151426481346,0.0,32.74,9.936124137812394,8.110920221646866,5.988014292835192,4.942692831804873,0.0,0.0,NORTH EAST AND YORKSHIRE,22.0,377.7,7659,Q4
B86020,317,118,37.22397476340694,24.959446306910348,0.0,16.12,9.322634295911772,10.487036444537134,6.649734472408221,2.073573115052026,0.0,0.0,NORTH EAST AND YORKSHIRE,27.8,641.7,7176,Q3
