tag,model,outcome,predictor,coef,se
after_rebuilt,plusreport,Q16_contact,_n,4818.0,
after_rebuilt,together,Q1_phone,queue_answer,6.168,0.242
after_rebuilt,together,Q1_phone,ivr_share,-3.406,0.233
after_rebuilt,together,Q1_phone,monwed_gap,-0.203,0.212
after_rebuilt,together,Q1_phone,contacts_per_appt,-0.866,0.381
after_rebuilt,together,Q1_phone,calls_per1k,3.257,0.481
after_rebuilt,together,Q1_phone,oc_rate_febapr,-3.925,0.291
after_rebuilt,together,Q1_phone,same_day_pct_12m,-0.477,0.214
after_rebuilt,together,Q1_phone,log_list,-4.773,0.28
after_rebuilt,together,Q1_phone,imd_score,-3.087,0.261
after_rebuilt,together,Q1_phone,partner_per10k,1.611,0.236
after_rebuilt,together,Q1_phone,salaried_per10k,1.09,0.259
after_rebuilt,together,Q1_phone,locum_per10k,0.095,0.19
after_rebuilt,together,Q1_phone,trainee_per10k,0.107,0.24
after_rebuilt,together,Q1_phone,training_flag,3.195,0.611
after_rebuilt,together,Q1_phone,nurse10k_c,0.253,0.251
after_rebuilt,together,Q1_phone,dpc10k_c,1.096,0.208
after_rebuilt,together,Q1_phone,admin10k_c,-1.381,0.264
after_rebuilt,together,Q1_phone,appts_percap,0.479,0.375
after_rebuilt,together,Q1_phone,pct65plus,-1.488,0.355
after_rebuilt,together,Q1_phone,nonwhite_pct,-1.14,0.302
after_rebuilt,together,Q1_phone,adm_x_size,-0.2,0.205
after_rebuilt,together,Q1_phone,adm_x_oc,0.452,0.239
after_rebuilt,together,Q1_phone,_R2,0.4752,
after_rebuilt,together,Q1_phone,_n,4818.0,
after_rebuilt,plusreport,Q1_phone,queue_answer,4.512,0.198
after_rebuilt,plusreport,Q1_phone,ivr_share,-2.391,0.185
after_rebuilt,plusreport,Q1_phone,monwed_gap,-0.197,0.17
after_rebuilt,plusreport,Q1_phone,contacts_per_appt,-0.373,0.319
after_rebuilt,plusreport,Q1_phone,calls_per1k,3.253,0.421
after_rebuilt,plusreport,Q1_phone,oc_rate_febapr,-3.384,0.243
after_rebuilt,plusreport,Q1_phone,same_day_pct_12m,0.282,0.173
after_rebuilt,plusreport,Q1_phone,log_list,-3.126,0.23
after_rebuilt,plusreport,Q1_phone,imd_score,-1.465,0.216
after_rebuilt,plusreport,Q1_phone,partner_per10k,0.356,0.186
after_rebuilt,plusreport,Q1_phone,salaried_per10k,0.492,0.191
after_rebuilt,plusreport,Q1_phone,locum_per10k,-0.035,0.162
after_rebuilt,plusreport,Q1_phone,trainee_per10k,0.791,0.194
after_rebuilt,plusreport,Q1_phone,training_flag,1.826,0.494
after_rebuilt,plusreport,Q1_phone,nurse10k_c,0.303,0.192
after_rebuilt,plusreport,Q1_phone,dpc10k_c,0.735,0.163
after_rebuilt,plusreport,Q1_phone,admin10k_c,-0.507,0.218
after_rebuilt,plusreport,Q1_phone,appts_percap,0.063,0.306
after_rebuilt,plusreport,Q1_phone,pct65plus,-1.48,0.285
after_rebuilt,plusreport,Q1_phone,nonwhite_pct,-0.238,0.252
after_rebuilt,plusreport,Q1_phone,adm_x_size,-0.008,0.114
after_rebuilt,plusreport,Q1_phone,adm_x_oc,0.389,0.194
after_rebuilt,plusreport,Q1_phone,deflection_2026,-5.809,0.182
after_rebuilt,plusreport,Q1_phone,continuity_2026,4.909,0.191
after_rebuilt,plusreport,Q1_phone,has_pref_hcp_2026,0.524,0.185
after_rebuilt,plusreport,Q1_phone,_R2,0.6645,
after_rebuilt,plusreport,Q1_phone,_n,4818.0,
after_rebuilt,C_continuity,continuity_2026,partner_per10k,2.114,0.285
after_rebuilt,C_continuity,continuity_2026,salaried_per10k,0.879,0.295
after_rebuilt,C_continuity,continuity_2026,trainee_per10k,-2.003,0.315
after_rebuilt,C_continuity,continuity_2026,training_flag,2.101,0.714
after_rebuilt,C_continuity,continuity_2026,_n,4874.0,
