month,gp_code,gp_name,inb_total,ans_total,pct_u2_total,inb_core,ans_core,pct_u2_core,inb_810,ans_810,pct_u2_810
2026-06-01,F86650,LIME TREE SURGERY,3634.0,2459.0,0.756,3531.0,2454.0,0.757,724.0,522.0,0.759
2026-06-01,F86036,THE ALLUM MEDICAL CENTRE,8148.0,2437.0,0.112,7022.0,2437.0,0.112,2617.0,507.0,0.079
2026-06-01,F86018,THE ECCLESBOURNE PRACTICE,1726.0,961.0,0.851,1551.0,961.0,0.851,357.0,296.0,0.865
2026-06-01,F86088,THE LYNDHURST SURGERY,2719.0,1715.0,0.472,2634.0,1714.0,0.471,788.0,488.0,0.314
2026-06-01,F86074,LEYTON HEALTHCARE 4TH FLOOR,6430.0,4844.0,0.764,6086.0,4823.0,0.765,1417.0,1136.0,0.714
2026-06-01,F86038,SMA MEDICAL PRACTICE,6533.0,4200.0,0.492,5949.0,4168.0,0.491,1754.0,1265.0,0.458
2026-06-01,F86011,THE MANOR PRACTICE,3894.0,2281.0,0.505,3579.0,2279.0,0.505,666.0,449.0,0.592
2026-06-01,F86621,DR MOHAMMED GREEN MAN MEDICAL CENTRE,3937.0,2455.0,0.472,3617.0,2417.0,0.478,1017.0,625.0,0.35
2026-06-01,F86666,HARROW ROAD GP CENTRE,6301.0,3477.0,0.504,5923.0,3477.0,0.504,1498.0,1029.0,0.602
2026-06-01,F86045,HIGH ROAD SURGERY,1029.0,781.0,0.775,954.0,744.0,0.763,218.0,146.0,0.438
2026-06-01,F86701,KIYANI MEDICAL PRACTICE,2068.0,1648.0,0.848,1914.0,1554.0,0.841,309.0,223.0,0.776
2026-06-01,F86705,LANGTHORNE SHARMA FAMILY PRACTICE,1565.0,1105.0,0.745,1496.0,1105.0,0.745,315.0,250.0,0.66
2026-06-01,F86625,LL MEDICAL CARE LTD,3700.0,1540.0,0.274,2806.0,1332.0,0.241,1269.0,384.0,0.122
2026-06-01,F86607,ADDISON ROAD MEDICAL PRACTICE,10359.0,9500.0,0.852,10032.0,9495.0,0.852,2178.0,2089.0,0.897
2026-06-01,F86708,CLAREMONT MEDICAL CENTRE,2757.0,1313.0,0.429,2544.0,1307.0,0.431,629.0,260.0,0.35
2026-06-01,F86086,DR DHITAL PRACTICE,2996.0,2333.0,0.672,2677.0,2303.0,0.668,894.0,753.0,0.453
2026-06-01,F86644,WALTHAM FOREST COMM & FAM HTH SERV LTD,3451.0,1902.0,0.58,3231.0,1885.0,0.579,770.0,518.0,0.562
2026-06-01,F86062,GROVE SURGERY,4024.0,2229.0,0.792,3243.0,2093.0,0.827,1364.0,609.0,0.578
2026-06-01,F86679,HIGHAM HILL MEDICAL CENTRE,2947.0,1896.0,0.956,2790.0,1836.0,0.954,653.0,404.0,0.95
2026-06-01,F86030,QUEENS ROAD MEDICAL CENTRE,5877.0,4046.0,0.662,5419.0,4035.0,0.662,2211.0,1629.0,0.514
2026-06-01,F86006,SEYMOUR MEDICAL CENTRE,5566.0,2447.0,0.707,4560.0,2447.0,0.707,2671.0,1035.0,0.458
2026-06-01,F86058,ST JAMES MEDICAL PRACTICE LIMITED,5136.0,5114.0,1.0,4887.0,4870.0,1.0,1328.0,1325.0,1.0
2026-06-01,F86691,CLAYHALL CLINIC,7540.0,4688.0,0.51,6886.0,4498.0,0.522,2319.0,1268.0,0.349
2026-06-01,F86020,GLEBELANDS PRACTICE,4306.0,2637.0,0.848,3566.0,2637.0,0.848,1359.0,975.0,0.638
2026-06-01,F86658,QUEEN MARY PRACTICE,3166.0,1863.0,0.447,2854.0,1741.0,0.453,890.0,520.0,0.452
2026-06-01,F86012,RYDAL,5529.0,3181.0,0.561,5021.0,3181.0,0.561,1598.0,831.0,0.449
2026-06-01,F86066,SOUTHDENE SURGERY,3952.0,2270.0,0.429,3395.0,2063.0,0.457,1033.0,539.0,0.401
2026-06-01,F86013,THE BROADWAY SURGERY,3208.0,1468.0,0.481,2771.0,1468.0,0.481,1042.0,510.0,0.353
2026-06-01,F86064,THE ELMHURST PRACTICE,2870.0,1920.0,0.742,2460.0,1838.0,0.752,790.0,529.0,0.505
2026-06-01,F86023,THE EVERGREEN SURGERY,3835.0,2075.0,0.204,3617.0,2075.0,0.204,812.0,497.0,0.227
2026-06-01,F86641,THE SHRUBBERIES MEDICAL CENTRE,4310.0,2542.0,0.512,3830.0,2480.0,0.515,1060.0,585.0,0.48
2026-06-01,F86032,WANSTEAD PLACE SURGERY,6208.0,2565.0,0.625,4625.0,2510.0,0.633,1998.0,706.0,0.443
2026-06-01,F84601,ELSDALE STREET SURGERY,2253.0,1484.0,0.447,2103.0,1483.0,0.447,354.0,227.0,0.414
2026-06-01,F84632,THE GREENHOUSE WALK-IN,1381.0,923.0,0.757,1269.0,912.0,0.758,336.0,270.0,0.759
2026-06-01,F84620,THE WICK HEALTH CENTRE,5957.0,4711.0,0.928,5745.0,4711.0,0.928,1779.0,1456.0,0.874
2026-06-01,F84069,WELL STREET SURGERY,5550.0,3674.0,0.495,5304.0,3670.0,0.495,1167.0,856.0,0.551
2026-06-01,F84716,THE ALLERTON ROAD SURGERY,3424.0,2286.0,0.89,3091.0,2278.0,0.89,967.0,719.0,0.798
2026-06-01,F84036,THE CEDAR PRACTICE,3796.0,2761.0,0.722,3499.0,2749.0,0.721,1304.0,988.0,0.595
2026-06-01,F84119,THE HERON PRACTICE,4307.0,2357.0,0.251,4072.0,2331.0,0.243,1015.0,582.0,0.253
2026-06-01,F84115,THE STATHAM GROVE SURGERY,3974.0,2616.0,0.734,3512.0,2599.0,0.735,1282.0,862.0,0.606
