period,GP_CODE,all_fast,all_known,all_total,gp_fast,gp_known,gp_total
janfeb,P88632,7871,15518,15518,6016,8206,8206
janfeb,P89002,5766,15083,15083,2199,3861,3861
janfeb,P89003,2577,6892,6892,1006,2442,2442
janfeb,P89004,2640,4678,4678,1130,1708,1708
janfeb,P89005,3974,8305,8305,479,2402,2402
janfeb,P89006,6722,11515,11515,5586,7258,7258
janfeb,P89007,2171,6654,6654,1545,3423,3423
janfeb,P89008,6094,13813,13813,1931,4213,4213
janfeb,P89010,2631,5768,5768,1924,3043,3043
janfeb,P89011,688,2407,2407,280,841,841
janfeb,P89012,2182,5577,5577,1746,2874,2874
janfeb,P89013,1970,3520,3520,1440,1824,1824
janfeb,P89014,6081,10347,10347,4222,5377,5377
janfeb,P89015,12707,20499,20499,5865,7168,7168
janfeb,P89016,4564,7671,7671,2650,3574,3574
janfeb,P89018,3012,7297,7297,2197,3726,3726
janfeb,P89020,2502,5754,5754,1987,3086,3086
janfeb,P89021,2112,7425,7425,1280,3343,3343
janfeb,P89022,1360,2610,2610,1208,1644,1644
janfeb,P89023,3897,9385,9385,2054,4159,4159
janfeb,P89025,1408,2492,2492,1211,1507,1507
janfeb,P89026,1905,4442,4442,802,1791,1791
janfeb,P89029,3783,7126,7126,1562,2842,2842
janfeb,P89030,1362,3354,3354,1205,2126,2126
janfeb,P89602,1583,3025,3025,1280,1677,1677
janfeb,P89609,4310,8128,8128,1764,2525,2525
janfeb,P89612,491,1425,1425,339,694,694
janfeb,P89613,799,2402,2402,489,1175,1175
janfeb,P89618,1193,1996,1996,1097,1469,1469
janfeb,P91003,3325,5496,5496,2344,3135,3135
janfeb,P91004,2895,5234,5234,2242,3348,3348
janfeb,P91006,4278,8206,8206,3181,5022,5022
janfeb,P91007,2143,3745,3745,1797,2478,2478
janfeb,P91008,2317,4488,4488,1417,2294,2294
janfeb,P91009,2674,8107,8107,2144,5121,5121
janfeb,P91011,3159,4134,4134,2636,2922,2922
janfeb,P91012,4619,7252,7252,3204,4322,4322
janfeb,P91013,6302,9979,9979,2389,2944,2944
janfeb,P91014,3969,10213,10213,1869,4314,4314
janfeb,P91016,2453,5066,5066,1873,3178,3178
janfeb,P91017,2144,5914,5914,1808,4181,4181
janfeb,P91018,3122,8603,8603,2356,5634,5634
janfeb,P91019,1357,2779,2779,1044,1726,1726
janfeb,P91020,5515,9122,9122,4107,5895,5895
janfeb,P91021,3295,10791,10791,2355,6205,6205
janfeb,P91026,3108,5568,5568,1943,3306,3306
janfeb,P91029,2847,8817,8817,1759,4494,4494
janfeb,P91035,4718,10263,10263,3301,6755,6755
janfeb,P91603,1753,4699,4699,1505,3015,3015
janfeb,P91604,5664,11498,11498,3319,5977,5977
janfeb,P91617,959,1372,1372,926,1077,1077
janfeb,P91623,2859,5319,5319,1547,2778,2778
janfeb,P91627,3806,5785,5785,1243,1772,1772
janfeb,P91629,8241,15940,15940,5383,7987,7987
janfeb,P91631,2107,3603,3603,1972,3002,3002
janfeb,P92001,1221,3243,3243,848,1930,1930
janfeb,P92002,2329,4315,4315,1114,2365,2365
janfeb,P92003,3447,6820,6820,1538,2549,2549
janfeb,P92004,4268,8366,8366,2131,3208,3208
janfeb,P92005,1705,3672,3672,599,1369,1369
janfeb,P92006,1324,3477,3477,1164,2226,2226
janfeb,P92007,3168,6453,6453,2005,3642,3642
janfeb,P92008,2145,5748,5748,1547,3206,3206
janfeb,P92010,6131,11996,11996,4155,5638,5638
janfeb,P92011,3155,6814,6814,1863,3131,3131
janfeb,P92012,1857,3100,3100,696,1244,1244
janfeb,P92014,3150,6139,6139,2418,3757,3757
janfeb,P92015,2699,4594,4594,1919,2458,2458
janfeb,P92016,6181,18825,18825,4778,9950,9950
janfeb,P92017,5133,9001,9001,2346,3874,3874
janfeb,P92019,3011,5819,5819,2141,3601,3601
janfeb,P92020,1119,3089,3089,814,1876,1876
janfeb,P92021,1730,4304,4304,1317,2690,2690
janfeb,P92023,2893,5864,5864,1855,3126,3126
janfeb,P92024,3581,7383,7383,1216,2581,2581
janfeb,P92026,2248,6088,6088,882,2453,2453
janfeb,P92028,3513,5734,5734,3232,4452,4452
janfeb,P92029,1722,3454,3454,568,1017,1017
janfeb,P92030,961,2067,2067,630,1156,1156
janfeb,P92031,1202,4358,4358,427,1819,1819
janfeb,P92033,1358,2675,2675,1188,1758,1758
janfeb,P92034,2786,4595,4595,1526,2063,2063
janfeb,P92038,1062,2025,2025,646,909,909
janfeb,P92041,4137,6954,6954,1100,1963,1963
janfeb,P92042,4128,8357,8357,2599,4312,4312
janfeb,P92602,425,1476,1476,341,1081,1081
janfeb,P92605,2722,5051,5051,537,1575,1575
janfeb,P92607,1886,5260,5260,1525,3580,3580
janfeb,P92615,1560,3621,3621,626,1369,1369
janfeb,P92620,2017,5238,5238,1002,2661,2661
janfeb,P92621,740,2501,2501,560,1743,1743
janfeb,P92626,5404,6823,6823,4062,4207,4207
janfeb,P92630,943,2224,2224,589,1332,1332
janfeb,P92633,1118,2596,2596,867,1533,1533
janfeb,P92634,762,2903,2903,564,1916,1916
janfeb,P92635,188,801,801,99,406,406
janfeb,P92637,1000,2576,2576,784,1764,1764
janfeb,P92639,632,1734,1734,471,1002,1002
janfeb,P92642,1866,3948,3948,1015,1844,1844
janfeb,P92646,768,1893,1893,508,1119,1119
janfeb,P92647,3804,5711,5711,3292,4014,4014
janfeb,P92648,3443,4967,4967,910,1412,1412
janfeb,P92651,2539,4670,4670,1637,2791,2791
janfeb,Y00020,1421,4787,4787,1159,3512,3512
janfeb,Y00026,1224,2373,2373,609,769,769
janfeb,Y00033,4643,7122,7122,3163,4326,4326
janfeb,Y00050,2972,7213,7213,1366,3183,3183
janfeb,Y00056,1507,2339,2339,427,710,710
janfeb,Y00057,3618,8368,8368,832,2841,2841
janfeb,Y00060,696,1156,1156,203,399,399
janfeb,Y00078,1549,3439,3439,1237,2035,2035
janfeb,Y00080,2404,6681,6681,1163,2214,2214
janfeb,Y00090,4049,6461,6461,2349,3138,3138
janfeb,Y00137,12218,26805,26805,8169,13302,13302
janfeb,Y00140,1096,1700,1700,870,1179,1179
janfeb,Y00155,4218,5990,5990,2038,2310,2310
janfeb,Y00159,10637,20240,20240,6289,10153,10153
janfeb,Y00184,2517,5602,5602,958,2239,2239
janfeb,Y00185,3725,8627,8627,428,1778,1778
janfeb,Y00186,708,1230,1230,642,955,955
janfeb,Y00200,2173,3966,3966,890,1682,1682
janfeb,Y00206,5826,8744,8744,4033,4525,4525
