section,measure,group,value,unit,weighted_base_n,ci95_low,ci95_high,period,source,note
demand_capacity_ledger,Registered patients aged 65+ (%),most_deprived,13.8,%,881,,,,"NHSE Patients Registered at a GP Practice, Jul 2026 (practice_age_sex.parquet)",practices in both telephony and GPAD panels; ratio of sums (list-size-weighted)
demand_capacity_ledger,Registered patients aged 65+ (%),least_deprived,21.9,%,1063,,,,"NHSE Patients Registered at a GP Practice, Jul 2026 (practice_age_sex.parquet)",practices in both telephony and GPAD panels; ratio of sums (list-size-weighted)
demand_capacity_ledger,QOF recorded diabetes prevalence (%),most_deprived,9.8,%,881,,,,QOF 2024/25 (qof_prevalence_2425.parquet),practices in both telephony and GPAD panels; ratio of sums (list-size-weighted)
demand_capacity_ledger,QOF recorded diabetes prevalence (%),least_deprived,6.6,%,1063,,,,QOF 2024/25 (qof_prevalence_2425.parquet),practices in both telephony and GPAD panels; ratio of sums (list-size-weighted)
demand_capacity_ledger,Practices with telephony data (merged sample),all,4967,practices,,,,Oct 2024 - Mar 2026,NHSE cloud-based telephony (via cbt_volumes_panel.csv),
demand_capacity_ledger,Telephony coverage (share of practices in sample),most_deprived,73,%,,,,,NHSE cloud-based telephony (via cbt_volumes_panel.csv) / Practice-level GPPS x IMD (research/data/xsec_master_2026.parquet),
demand_capacity_ledger,Telephony coverage (share of practices in sample),least_deprived,86,%,,,,,NHSE cloud-based telephony (via cbt_volumes_panel.csv) / Practice-level GPPS x IMD (research/data/xsec_master_2026.parquet),
demand_capacity_ledger,"Fully-qualified GP FTE per 10,000 registered patients",most_deprived,4.29,"FTE per 10,000",1186,,,May 2026,NHSE General Practice Workforce May 2026 (data/gpw_may26) + registered patients Jul 2026,Total GP FTE minus GP-in-training grades; list-size-weighted (ratio of sums)
demand_capacity_ledger,"Fully-qualified GP FTE per 10,000 registered patients",least_deprived,4.92,"FTE per 10,000",1214,,,May 2026,NHSE General Practice Workforce May 2026 (data/gpw_may26) + registered patients Jul 2026,Total GP FTE minus GP-in-training grades; list-size-weighted (ratio of sums)
demand_capacity_ledger,Fully-qualified GP FTE gap (most v least deprived),difference,13,% fewer,,,,May 2026,NHSE General Practice Workforce May 2026 (data/gpw_may26) + registered patients Jul 2026,
demand_capacity_ledger,Funding per need-adjusted registered patient (more deprived v less),difference,7,% less,,,,,"Health Foundation, Level or not? (reader.health.org.uk/level-or-not/analysis)","external published figure, verified verbatim 15 Jul 2026"
